policy,split,metric_scope,row_count,precision,recall,false_positive_rate,tp,fp,fn,tn,mean_score,risk_threshold,pre_event_threshold,fault_events,detected_fault_events,fault_event_recall,selected_official_v4,f1
risk_0.700_or_pre_0.950,train,row,900,0.535519125683,0.449541284404,0.124633431085,98,85,120,597,54.3770917387,0.7,0.95,21,17,0.809523809524,False,0.488778054863
risk_0.700_or_pre_0.950,validation,row,169,0.235294117647,0.307692307692,0.181818181818,8,26,18,117,61.7793277008,0.7,0.95,3,2,0.666666666667,False,0.266666666667
risk_0.700_or_pre_0.950,holdout,row,183,0.710843373494,0.766233766234,0.22641509434,59,24,18,82,65.7298480402,0.7,0.95,8,7,0.875,False,0.7375
risk_0.700_or_pre_0.970,train,row,900,0.583333333333,0.417431192661,0.0953079178886,91,65,127,617,54.3770917387,0.7,0.97,21,16,0.761904761905,False,0.486631016043
risk_0.700_or_pre_0.970,validation,row,169,0.233333333333,0.269230769231,0.160839160839,7,23,19,120,61.7793277008,0.7,0.97,3,2,0.666666666667,False,0.25
risk_0.700_or_pre_0.970,holdout,row,183,0.719512195122,0.766233766234,0.216981132075,59,23,18,83,65.7298480402,0.7,0.97,8,7,0.875,False,0.74213836478
risk_0.700_or_pre_0.975,train,row,900,0.598639455782,0.403669724771,0.0865102639296,88,59,130,623,54.3770917387,0.7,0.975,21,16,0.761904761905,False,0.482191780822
risk_0.700_or_pre_0.975,validation,row,169,0.241379310345,0.269230769231,0.153846153846,7,22,19,121,61.7793277008,0.7,0.975,3,2,0.666666666667,False,0.254545454545
risk_0.700_or_pre_0.975,holdout,row,183,0.728395061728,0.766233766234,0.207547169811,59,22,18,84,65.7298480402,0.7,0.975,8,7,0.875,False,0.746835443038
risk_0.700_or_pre_0.980,train,row,900,0.632352941176,0.394495412844,0.0733137829912,86,50,132,632,54.3770917387,0.7,0.98,21,16,0.761904761905,False,0.485875706215
risk_0.700_or_pre_0.980,validation,row,169,0.222222222222,0.230769230769,0.146853146853,6,21,20,122,61.7793277008,0.7,0.98,3,2,0.666666666667,False,0.22641509434
risk_0.700_or_pre_0.980,holdout,row,183,0.728395061728,0.766233766234,0.207547169811,59,22,18,84,65.7298480402,0.7,0.98,8,7,0.875,False,0.746835443038
risk_0.700_or_pre_0.985,train,row,900,0.672,0.385321100917,0.0601173020528,84,41,134,641,54.3770917387,0.7,0.985,21,15,0.714285714286,False,0.489795918367
risk_0.700_or_pre_0.985,validation,row,169,0.230769230769,0.230769230769,0.13986013986,6,20,20,123,61.7793277008,0.7,0.985,3,2,0.666666666667,False,0.230769230769
risk_0.700_or_pre_0.985,holdout,row,183,0.7375,0.766233766234,0.198113207547,59,21,18,85,65.7298480402,0.7,0.985,8,7,0.875,False,0.751592356688
risk_0.700_or_pre_0.990,train,row,900,0.697478991597,0.380733944954,0.0527859237537,83,36,135,646,54.3770917387,0.7,0.99,21,15,0.714285714286,False,0.492581602374
risk_0.700_or_pre_0.990,validation,row,169,0.25,0.230769230769,0.125874125874,6,18,20,125,61.7793277008,0.7,0.99,3,2,0.666666666667,False,0.24
risk_0.700_or_pre_0.990,holdout,row,183,0.766233766234,0.766233766234,0.169811320755,59,18,18,88,65.7298480402,0.7,0.99,8,7,0.875,False,0.766233766234
risk_0.700_or_pre_0.995,train,row,900,0.796116504854,0.376146788991,0.0307917888563,82,21,136,661,54.3770917387,0.7,0.995,21,15,0.714285714286,False,0.510903426791
risk_0.700_or_pre_0.995,validation,row,169,0.142857142857,0.115384615385,0.125874125874,3,18,23,125,61.7793277008,0.7,0.995,3,1,0.333333333333,False,0.127659574468
risk_0.700_or_pre_0.995,holdout,row,183,0.773333333333,0.753246753247,0.160377358491,58,17,19,89,65.7298480402,0.7,0.995,8,7,0.875,False,0.763157894737
risk_0.740_or_pre_0.950,train,row,900,0.530386740331,0.440366972477,0.124633431085,96,85,122,597,54.3770917387,0.74,0.95,21,17,0.809523809524,False,0.481203007519
risk_0.740_or_pre_0.950,validation,row,169,0.296296296296,0.307692307692,0.132867132867,8,19,18,124,61.7793277008,0.74,0.95,3,2,0.666666666667,False,0.301886792453
risk_0.740_or_pre_0.950,holdout,row,183,0.721518987342,0.74025974026,0.207547169811,57,22,20,84,65.7298480402,0.74,0.95,8,7,0.875,False,0.730769230769
risk_0.740_or_pre_0.970,train,row,900,0.577922077922,0.408256880734,0.0953079178886,89,65,129,617,54.3770917387,0.74,0.97,21,15,0.714285714286,False,0.478494623656
risk_0.740_or_pre_0.970,validation,row,169,0.304347826087,0.269230769231,0.111888111888,7,16,19,127,61.7793277008,0.74,0.97,3,2,0.666666666667,False,0.285714285714
risk_0.740_or_pre_0.970,holdout,row,183,0.727272727273,0.727272727273,0.198113207547,56,21,21,85,65.7298480402,0.74,0.97,8,7,0.875,False,0.727272727273
risk_0.740_or_pre_0.975,train,row,900,0.593103448276,0.394495412844,0.0865102639296,86,59,132,623,54.3770917387,0.74,0.975,21,15,0.714285714286,False,0.473829201102
risk_0.740_or_pre_0.975,validation,row,169,0.318181818182,0.269230769231,0.104895104895,7,15,19,128,61.7793277008,0.74,0.975,3,2,0.666666666667,False,0.291666666667
risk_0.740_or_pre_0.975,holdout,row,183,0.736842105263,0.727272727273,0.188679245283,56,20,21,86,65.7298480402,0.74,0.975,8,7,0.875,False,0.732026143791
risk_0.740_or_pre_0.980,train,row,900,0.626865671642,0.385321100917,0.0733137829912,84,50,134,632,54.3770917387,0.74,0.98,21,15,0.714285714286,False,0.477272727273
risk_0.740_or_pre_0.980,validation,row,169,0.3,0.230769230769,0.0979020979021,6,14,20,129,61.7793277008,0.74,0.98,3,2,0.666666666667,False,0.260869565217
risk_0.740_or_pre_0.980,holdout,row,183,0.736842105263,0.727272727273,0.188679245283,56,20,21,86,65.7298480402,0.74,0.98,8,7,0.875,False,0.732026143791
risk_0.740_or_pre_0.985,train,row,900,0.666666666667,0.376146788991,0.0601173020528,82,41,136,641,54.3770917387,0.74,0.985,21,14,0.666666666667,False,0.480938416422
risk_0.740_or_pre_0.985,validation,row,169,0.315789473684,0.230769230769,0.0909090909091,6,13,20,130,61.7793277008,0.74,0.985,3,2,0.666666666667,False,0.266666666667
risk_0.740_or_pre_0.985,holdout,row,183,0.746666666667,0.727272727273,0.179245283019,56,19,21,87,65.7298480402,0.74,0.985,8,7,0.875,False,0.736842105263
risk_0.740_or_pre_0.990,train,row,900,0.689655172414,0.366972477064,0.0527859237537,80,36,138,646,54.3770917387,0.74,0.99,21,14,0.666666666667,False,0.479041916168
risk_0.740_or_pre_0.990,validation,row,169,0.352941176471,0.230769230769,0.0769230769231,6,11,20,132,61.7793277008,0.74,0.99,3,2,0.666666666667,False,0.279069767442
risk_0.740_or_pre_0.990,holdout,row,183,0.777777777778,0.727272727273,0.150943396226,56,16,21,90,65.7298480402,0.74,0.99,8,7,0.875,False,0.751677852349
risk_0.740_or_pre_0.995,train,row,900,0.79,0.362385321101,0.0307917888563,79,21,139,661,54.3770917387,0.74,0.995,21,14,0.666666666667,False,0.496855345912
risk_0.740_or_pre_0.995,validation,row,169,0.214285714286,0.115384615385,0.0769230769231,3,11,23,132,61.7793277008,0.74,0.995,3,1,0.333333333333,False,0.15
risk_0.740_or_pre_0.995,holdout,row,183,0.785714285714,0.714285714286,0.141509433962,55,15,22,91,65.7298480402,0.74,0.995,8,7,0.875,False,0.748299319728
risk_0.760_or_pre_0.950,train,row,900,0.525139664804,0.43119266055,0.124633431085,94,85,124,597,54.3770917387,0.76,0.95,21,17,0.809523809524,False,0.47355163728
risk_0.760_or_pre_0.950,validation,row,169,0.307692307692,0.307692307692,0.125874125874,8,18,18,125,61.7793277008,0.76,0.95,3,2,0.666666666667,False,0.307692307692
risk_0.760_or_pre_0.950,holdout,row,183,0.75,0.74025974026,0.179245283019,57,19,20,87,65.7298480402,0.76,0.95,8,7,0.875,False,0.745098039216
risk_0.760_or_pre_0.970,train,row,900,0.572368421053,0.399082568807,0.0953079178886,87,65,131,617,54.3770917387,0.76,0.97,21,15,0.714285714286,False,0.47027027027
risk_0.760_or_pre_0.970,validation,row,169,0.318181818182,0.269230769231,0.104895104895,7,15,19,128,61.7793277008,0.76,0.97,3,2,0.666666666667,False,0.291666666667
risk_0.760_or_pre_0.970,holdout,row,183,0.756756756757,0.727272727273,0.169811320755,56,18,21,88,65.7298480402,0.76,0.97,8,7,0.875,False,0.741721854305
risk_0.760_or_pre_0.975,train,row,900,0.587412587413,0.385321100917,0.0865102639296,84,59,134,623,54.3770917387,0.76,0.975,21,15,0.714285714286,False,0.465373961219
risk_0.760_or_pre_0.975,validation,row,169,0.333333333333,0.269230769231,0.0979020979021,7,14,19,129,61.7793277008,0.76,0.975,3,2,0.666666666667,False,0.297872340426
risk_0.760_or_pre_0.975,holdout,row,183,0.767123287671,0.727272727273,0.160377358491,56,17,21,89,65.7298480402,0.76,0.975,8,7,0.875,False,0.746666666667
risk_0.760_or_pre_0.980,train,row,900,0.621212121212,0.376146788991,0.0733137829912,82,50,136,632,54.3770917387,0.76,0.98,21,15,0.714285714286,False,0.468571428571
risk_0.760_or_pre_0.980,validation,row,169,0.315789473684,0.230769230769,0.0909090909091,6,13,20,130,61.7793277008,0.76,0.98,3,2,0.666666666667,False,0.266666666667
risk_0.760_or_pre_0.980,holdout,row,183,0.777777777778,0.727272727273,0.150943396226,56,16,21,90,65.7298480402,0.76,0.98,8,7,0.875,False,0.751677852349
risk_0.760_or_pre_0.985,train,row,900,0.661157024793,0.366972477064,0.0601173020528,80,41,138,641,54.3770917387,0.76,0.985,21,14,0.666666666667,False,0.47197640118
risk_0.760_or_pre_0.985,validation,row,169,0.333333333333,0.230769230769,0.0839160839161,6,12,20,131,61.7793277008,0.76,0.985,3,2,0.666666666667,False,0.272727272727
risk_0.760_or_pre_0.985,holdout,row,183,0.788732394366,0.727272727273,0.141509433962,56,15,21,91,65.7298480402,0.76,0.985,8,7,0.875,False,0.756756756757
risk_0.760_or_pre_0.990,train,row,900,0.684210526316,0.357798165138,0.0527859237537,78,36,140,646,54.3770917387,0.76,0.99,21,14,0.666666666667,False,0.469879518072
risk_0.760_or_pre_0.990,validation,row,169,0.375,0.230769230769,0.0699300699301,6,10,20,133,61.7793277008,0.76,0.99,3,2,0.666666666667,False,0.285714285714
risk_0.760_or_pre_0.990,holdout,row,183,0.823529411765,0.727272727273,0.11320754717,56,12,21,94,65.7298480402,0.76,0.99,8,7,0.875,False,0.772413793103
risk_0.760_or_pre_0.995,train,row,900,0.785714285714,0.353211009174,0.0307917888563,77,21,141,661,54.3770917387,0.76,0.995,21,14,0.666666666667,False,0.487341772152
risk_0.760_or_pre_0.995,validation,row,169,0.230769230769,0.115384615385,0.0699300699301,3,10,23,133,61.7793277008,0.76,0.995,3,1,0.333333333333,False,0.153846153846
risk_0.760_or_pre_0.995,holdout,row,183,0.833333333333,0.714285714286,0.103773584906,55,11,22,95,65.7298480402,0.76,0.995,8,7,0.875,False,0.769230769231
risk_0.780_or_pre_0.950,train,row,900,0.522471910112,0.426605504587,0.124633431085,93,85,125,597,54.3770917387,0.78,0.95,21,16,0.761904761905,False,0.469696969697
risk_0.780_or_pre_0.950,validation,row,169,0.307692307692,0.307692307692,0.125874125874,8,18,18,125,61.7793277008,0.78,0.95,3,2,0.666666666667,False,0.307692307692
risk_0.780_or_pre_0.950,holdout,row,183,0.76,0.74025974026,0.169811320755,57,18,20,88,65.7298480402,0.78,0.95,8,7,0.875,False,0.75
risk_0.780_or_pre_0.970,train,row,900,0.569536423841,0.394495412844,0.0953079178886,86,65,132,617,54.3770917387,0.78,0.97,21,14,0.666666666667,False,0.466124661247
risk_0.780_or_pre_0.970,validation,row,169,0.318181818182,0.269230769231,0.104895104895,7,15,19,128,61.7793277008,0.78,0.97,3,2,0.666666666667,False,0.291666666667
risk_0.780_or_pre_0.970,holdout,row,183,0.767123287671,0.727272727273,0.160377358491,56,17,21,89,65.7298480402,0.78,0.97,8,7,0.875,False,0.746666666667
risk_0.780_or_pre_0.975,train,row,900,0.584507042254,0.380733944954,0.0865102639296,83,59,135,623,54.3770917387,0.78,0.975,21,14,0.666666666667,False,0.461111111111
risk_0.780_or_pre_0.975,validation,row,169,0.333333333333,0.269230769231,0.0979020979021,7,14,19,129,61.7793277008,0.78,0.975,3,2,0.666666666667,False,0.297872340426
risk_0.780_or_pre_0.975,holdout,row,183,0.777777777778,0.727272727273,0.150943396226,56,16,21,90,65.7298480402,0.78,0.975,8,7,0.875,False,0.751677852349
risk_0.780_or_pre_0.980,train,row,900,0.618320610687,0.371559633028,0.0733137829912,81,50,137,632,54.3770917387,0.78,0.98,21,14,0.666666666667,False,0.464183381089
risk_0.780_or_pre_0.980,validation,row,169,0.315789473684,0.230769230769,0.0909090909091,6,13,20,130,61.7793277008,0.78,0.98,3,2,0.666666666667,False,0.266666666667
risk_0.780_or_pre_0.980,holdout,row,183,0.788732394366,0.727272727273,0.141509433962,56,15,21,91,65.7298480402,0.78,0.98,8,7,0.875,False,0.756756756757
risk_0.780_or_pre_0.985,train,row,900,0.658333333333,0.362385321101,0.0601173020528,79,41,139,641,54.3770917387,0.78,0.985,21,13,0.619047619048,False,0.467455621302
risk_0.780_or_pre_0.985,validation,row,169,0.333333333333,0.230769230769,0.0839160839161,6,12,20,131,61.7793277008,0.78,0.985,3,2,0.666666666667,False,0.272727272727
risk_0.780_or_pre_0.985,holdout,row,183,0.8,0.727272727273,0.132075471698,56,14,21,92,65.7298480402,0.78,0.985,8,7,0.875,False,0.761904761905
risk_0.780_or_pre_0.990,train,row,900,0.681415929204,0.353211009174,0.0527859237537,77,36,141,646,54.3770917387,0.78,0.99,21,13,0.619047619048,True,0.465256797583
risk_0.780_or_pre_0.990,validation,row,169,0.375,0.230769230769,0.0699300699301,6,10,20,133,61.7793277008,0.78,0.99,3,2,0.666666666667,True,0.285714285714
risk_0.780_or_pre_0.990,holdout,row,183,0.835820895522,0.727272727273,0.103773584906,56,11,21,95,65.7298480402,0.78,0.99,8,7,0.875,True,0.777777777778
risk_0.780_or_pre_0.995,train,row,900,0.783505154639,0.348623853211,0.0307917888563,76,21,142,661,54.3770917387,0.78,0.995,21,13,0.619047619048,False,0.48253968254
risk_0.780_or_pre_0.995,validation,row,169,0.230769230769,0.115384615385,0.0699300699301,3,10,23,133,61.7793277008,0.78,0.995,3,1,0.333333333333,False,0.153846153846
risk_0.780_or_pre_0.995,holdout,row,183,0.846153846154,0.714285714286,0.0943396226415,55,10,22,96,65.7298480402,0.78,0.995,8,7,0.875,False,0.774647887324
risk_0.800_or_pre_0.950,train,row,900,0.522471910112,0.426605504587,0.124633431085,93,85,125,597,54.3770917387,0.8,0.95,21,16,0.761904761905,False,0.469696969697
risk_0.800_or_pre_0.950,validation,row,169,0.347826086957,0.307692307692,0.104895104895,8,15,18,128,61.7793277008,0.8,0.95,3,2,0.666666666667,False,0.326530612245
risk_0.800_or_pre_0.950,holdout,row,183,0.75,0.701298701299,0.169811320755,54,18,23,88,65.7298480402,0.8,0.95,8,7,0.875,False,0.724832214765
risk_0.800_or_pre_0.970,train,row,900,0.569536423841,0.394495412844,0.0953079178886,86,65,132,617,54.3770917387,0.8,0.97,21,14,0.666666666667,False,0.466124661247
risk_0.800_or_pre_0.970,validation,row,169,0.368421052632,0.269230769231,0.0839160839161,7,12,19,131,61.7793277008,0.8,0.97,3,2,0.666666666667,False,0.311111111111
risk_0.800_or_pre_0.970,holdout,row,183,0.757142857143,0.688311688312,0.160377358491,53,17,24,89,65.7298480402,0.8,0.97,8,7,0.875,False,0.721088435374
risk_0.800_or_pre_0.975,train,row,900,0.584507042254,0.380733944954,0.0865102639296,83,59,135,623,54.3770917387,0.8,0.975,21,14,0.666666666667,False,0.461111111111
risk_0.800_or_pre_0.975,validation,row,169,0.388888888889,0.269230769231,0.0769230769231,7,11,19,132,61.7793277008,0.8,0.975,3,2,0.666666666667,False,0.318181818182
risk_0.800_or_pre_0.975,holdout,row,183,0.768115942029,0.688311688312,0.150943396226,53,16,24,90,65.7298480402,0.8,0.975,8,7,0.875,False,0.72602739726
risk_0.800_or_pre_0.980,train,row,900,0.618320610687,0.371559633028,0.0733137829912,81,50,137,632,54.3770917387,0.8,0.98,21,14,0.666666666667,False,0.464183381089
risk_0.800_or_pre_0.980,validation,row,169,0.375,0.230769230769,0.0699300699301,6,10,20,133,61.7793277008,0.8,0.98,3,2,0.666666666667,False,0.285714285714
risk_0.800_or_pre_0.980,holdout,row,183,0.779411764706,0.688311688312,0.141509433962,53,15,24,91,65.7298480402,0.8,0.98,8,7,0.875,False,0.731034482759
risk_0.800_or_pre_0.985,train,row,900,0.658333333333,0.362385321101,0.0601173020528,79,41,139,641,54.3770917387,0.8,0.985,21,13,0.619047619048,False,0.467455621302
risk_0.800_or_pre_0.985,validation,row,169,0.4,0.230769230769,0.0629370629371,6,9,20,134,61.7793277008,0.8,0.985,3,2,0.666666666667,False,0.292682926829
risk_0.800_or_pre_0.985,holdout,row,183,0.791044776119,0.688311688312,0.132075471698,53,14,24,92,65.7298480402,0.8,0.985,8,7,0.875,False,0.736111111111
risk_0.800_or_pre_0.990,train,row,900,0.681415929204,0.353211009174,0.0527859237537,77,36,141,646,54.3770917387,0.8,0.99,21,13,0.619047619048,False,0.465256797583
risk_0.800_or_pre_0.990,validation,row,169,0.461538461538,0.230769230769,0.048951048951,6,7,20,136,61.7793277008,0.8,0.99,3,2,0.666666666667,False,0.307692307692
risk_0.800_or_pre_0.990,holdout,row,183,0.828125,0.688311688312,0.103773584906,53,11,24,95,65.7298480402,0.8,0.99,8,7,0.875,False,0.751773049645
risk_0.800_or_pre_0.995,train,row,900,0.783505154639,0.348623853211,0.0307917888563,76,21,142,661,54.3770917387,0.8,0.995,21,13,0.619047619048,False,0.48253968254
risk_0.800_or_pre_0.995,validation,row,169,0.333333333333,0.115384615385,0.041958041958,3,6,23,137,61.7793277008,0.8,0.995,3,1,0.333333333333,False,0.171428571429
risk_0.800_or_pre_0.995,holdout,row,183,0.838709677419,0.675324675325,0.0943396226415,52,10,25,96,65.7298480402,0.8,0.995,8,7,0.875,False,0.748201438849
risk_0.820_or_pre_0.950,train,row,900,0.522471910112,0.426605504587,0.124633431085,93,85,125,597,54.3770917387,0.82,0.95,21,16,0.761904761905,False,0.469696969697
risk_0.820_or_pre_0.950,validation,row,169,0.363636363636,0.307692307692,0.0979020979021,8,14,18,129,61.7793277008,0.82,0.95,3,2,0.666666666667,False,0.333333333333
risk_0.820_or_pre_0.950,holdout,row,183,0.757142857143,0.688311688312,0.160377358491,53,17,24,89,65.7298480402,0.82,0.95,8,7,0.875,False,0.721088435374
risk_0.820_or_pre_0.970,train,row,900,0.569536423841,0.394495412844,0.0953079178886,86,65,132,617,54.3770917387,0.82,0.97,21,14,0.666666666667,False,0.466124661247
risk_0.820_or_pre_0.970,validation,row,169,0.388888888889,0.269230769231,0.0769230769231,7,11,19,132,61.7793277008,0.82,0.97,3,2,0.666666666667,False,0.318181818182
risk_0.820_or_pre_0.970,holdout,row,183,0.764705882353,0.675324675325,0.150943396226,52,16,25,90,65.7298480402,0.82,0.97,8,7,0.875,False,0.71724137931
risk_0.820_or_pre_0.975,train,row,900,0.584507042254,0.380733944954,0.0865102639296,83,59,135,623,54.3770917387,0.82,0.975,21,14,0.666666666667,False,0.461111111111
risk_0.820_or_pre_0.975,validation,row,169,0.411764705882,0.269230769231,0.0699300699301,7,10,19,133,61.7793277008,0.82,0.975,3,2,0.666666666667,False,0.325581395349
risk_0.820_or_pre_0.975,holdout,row,183,0.776119402985,0.675324675325,0.141509433962,52,15,25,91,65.7298480402,0.82,0.975,8,7,0.875,False,0.722222222222
risk_0.820_or_pre_0.980,train,row,900,0.618320610687,0.371559633028,0.0733137829912,81,50,137,632,54.3770917387,0.82,0.98,21,14,0.666666666667,False,0.464183381089
risk_0.820_or_pre_0.980,validation,row,169,0.4,0.230769230769,0.0629370629371,6,9,20,134,61.7793277008,0.82,0.98,3,2,0.666666666667,False,0.292682926829
risk_0.820_or_pre_0.980,holdout,row,183,0.787878787879,0.675324675325,0.132075471698,52,14,25,92,65.7298480402,0.82,0.98,8,7,0.875,False,0.727272727273
risk_0.820_or_pre_0.985,train,row,900,0.658333333333,0.362385321101,0.0601173020528,79,41,139,641,54.3770917387,0.82,0.985,21,13,0.619047619048,False,0.467455621302
