tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,top10_precision,top10_recall,top20_precision,top20_recall,top30_precision,top30_recall,variant,split,high_threshold,urgent_threshold,w_pre_event,w_leadtime,w_group
40,0,37,106,1,0.519480519481,0.683760683761,0,8,5,0.625,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.00_0.00_1.00,holdout,50,65,0,0,1
173,0,22,682,1,0.887179487179,0.940217391304,0,18,16,0.888888888889,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.00_0.00_1.00,train,50,65,0,0,1
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.00_0.00_1.00,validation,50,65,0,0,1
40,0,37,106,1,0.519480519481,0.683760683761,0,8,5,0.625,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.00_0.05_0.95,holdout,52.5,67.5,0,0.05,0.95
173,0,22,682,1,0.887179487179,0.940217391304,0,18,16,0.888888888889,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.00_0.05_0.95,train,52.5,67.5,0,0.05,0.95
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.00_0.05_0.95,validation,52.5,67.5,0,0.05,0.95
40,0,37,106,1,0.519480519481,0.683760683761,0,8,5,0.625,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.00_0.10_0.90,holdout,52.5,67.5,0,0.1,0.9
173,0,22,682,1,0.887179487179,0.940217391304,0,18,16,0.888888888889,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.00_0.10_0.90,train,52.5,67.5,0,0.1,0.9
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.00_0.10_0.90,validation,52.5,67.5,0,0.1,0.9
44,0,33,106,1,0.571428571429,0.727272727273,0,8,6,0.75,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.00_0.15_0.85,holdout,52.5,67.5,0,0.15,0.85
177,0,18,682,1,0.907692307692,0.951612903226,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.00_0.15_0.85,train,52.5,67.5,0,0.15,0.85
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.00_0.15_0.85,validation,52.5,67.5,0,0.15,0.85
40,0,37,106,1,0.519480519481,0.683760683761,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.00_0.20_0.80,holdout,55,70,0,0.2,0.8
177,0,18,682,1,0.907692307692,0.951612903226,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.00_0.20_0.80,train,55,70,0,0.2,0.8
