policy,split,metric_scope,row_count,precision,recall,false_positive_rate,tp,fp,fn,tn,mean_score,fault_events,detected_fault_events,fault_event_recall,note
current_best_priority,train,row,900,1,0.93119266055,0,203,0,15,682,31.3279105556,,,,
current_best_priority,train,fault_event,,,,,,,,,,21,21,1,normal-event 기준 FPR은 별도 event contract가 없어 row false_positive_rate를 비교 기준으로 사용한다.
m1_specialist_priority,train,row,900,0.432098765432,0.321100917431,0.134897360704,70,92,148,590,52.5473100807,,,,
m1_specialist_priority,train,fault_event,,,,,,,,,,21,19,0.904761904762,normal-event 기준 FPR은 별도 event contract가 없어 row false_positive_rate를 비교 기준으로 사용한다.
m1_hybrid_priority,train,row,900,1,0.325688073394,0,71,0,147,682,38.7547003893,,,,
m1_hybrid_priority,train,fault_event,,,,,,,,,,21,18,0.857142857143,normal-event 기준 FPR은 별도 event contract가 없어 row false_positive_rate를 비교 기준으로 사용한다.
current_best_priority,validation,row,169,0.164835164835,0.576923076923,0.531468531469,15,76,11,67,62.8845757396,,,,
current_best_priority,validation,fault_event,,,,,,,,,,3,2,0.666666666667,normal-event 기준 FPR은 별도 event contract가 없어 row false_positive_rate를 비교 기준으로 사용한다.
m1_specialist_priority,validation,row,169,0.354838709677,0.423076923077,0.13986013986,11,20,15,123,55.7024833895,,,,
m1_specialist_priority,validation,fault_event,,,,,,,,,,3,3,1,normal-event 기준 FPR은 별도 event contract가 없어 row false_positive_rate를 비교 기준으로 사용한다.
m1_hybrid_priority,validation,row,169,0.228571428571,0.307692307692,0.188811188811,8,27,18,116,60.3708434171,,,,
m1_hybrid_priority,validation,fault_event,,,,,,,,,,3,2,0.666666666667,normal-event 기준 FPR은 별도 event contract가 없어 row false_positive_rate를 비교 기준으로 사용한다.
current_best_priority,holdout,row,183,0.423841059603,0.831168831169,0.820754716981,64,87,13,19,75.7683661202,,,,
current_best_priority,holdout,fault_event,,,,,,,,,,8,8,1,normal-event 기준 FPR은 별도 event contract가 없어 row false_positive_rate를 비교 기준으로 사용한다.
m1_specialist_priority,holdout,row,183,0.673076923077,0.454545454545,0.160377358491,35,17,42,89,56.2694511873,,,,
m1_specialist_priority,holdout,fault_event,,,,,,,,,,8,7,0.875,normal-event 기준 FPR은 별도 event contract가 없어 row false_positive_rate를 비교 기준으로 사용한다.
m1_hybrid_priority,holdout,row,183,0.634146341463,0.337662337662,0.141509433962,26,15,51,91,68.9437458937,,,,
m1_hybrid_priority,holdout,fault_event,,,,,,,,,,8,4,0.5,normal-event 기준 FPR은 별도 event contract가 없어 row false_positive_rate를 비교 기준으로 사용한다.
