threshold,tp,fp,fn,tn,precision,recall,f1,false_positive_rate,score_name
0.1,321,926,0,5,0.257417802727,1,0.40943877551,0.99462943072,anomaly_policy_score
0.2,321,685,0,246,0.319085487078,1,0.483798040693,0.735767991407,anomaly_policy_score
0.3,294,479,27,452,0.380336351876,0.915887850467,0.53747714808,0.514500537057,anomaly_policy_score
0.4,249,346,72,585,0.418487394958,0.775700934579,0.543668122271,0.3716433942,anomaly_policy_score
0.5,192,226,129,705,0.459330143541,0.598130841121,0.519621109608,0.242749731472,anomaly_policy_score
0.6,163,174,158,757,0.483679525223,0.507788161994,0.495440729483,0.186895810956,anomaly_policy_score
0.7,145,146,176,785,0.498281786942,0.451713395639,0.47385620915,0.156820622986,anomaly_policy_score
0.8,137,121,184,810,0.531007751938,0.426791277259,0.47322970639,0.129967776584,anomaly_policy_score
0.9,125,105,196,826,0.54347826087,0.389408099688,0.453720508167,0.112781954887,anomaly_policy_score
0.1,321,931,0,0,0.256389776358,1,0.408137317228,1,anomaly_ensemble_score
0.2,321,931,0,0,0.256389776358,1,0.408137317228,1,anomaly_ensemble_score
0.3,321,931,0,0,0.256389776358,1,0.408137317228,1,anomaly_ensemble_score
0.4,321,907,0,24,0.261400651466,1,0.414460942544,0.974221267454,anomaly_ensemble_score
0.5,303,605,18,326,0.333700440529,0.943925233645,0.493083807974,0.649838882922,anomaly_ensemble_score
0.6,227,356,94,575,0.38936535163,0.707165109034,0.502212389381,0.38238453276,anomaly_ensemble_score
0.7,174,200,147,731,0.465240641711,0.542056074766,0.50071942446,0.214822771214,anomaly_ensemble_score
0.8,141,127,180,804,0.526119402985,0.439252336449,0.478777589134,0.136412459721,anomaly_ensemble_score
0.9,129,108,192,823,0.544303797468,0.401869158879,0.462365591398,0.116004296455,anomaly_ensemble_score
0.1,285,174,36,757,0.62091503268,0.88785046729,0.730769230769,0.186895810956,risk_score
0.2,245,116,76,815,0.678670360111,0.763239875389,0.718475073314,0.124597207304,risk_score
0.3,214,95,107,836,0.692556634304,0.666666666667,0.679365079365,0.102040816327,risk_score
0.4,191,75,130,856,0.718045112782,0.595015576324,0.650766609881,0.0805585392052,risk_score
0.5,163,59,158,872,0.734234234234,0.507788161994,0.600368324125,0.0633727175081,risk_score
0.6,145,47,176,884,0.755208333333,0.451713395639,0.56530214425,0.0504833512352,risk_score
0.7,129,27,192,904,0.826923076923,0.401869158879,0.540880503145,0.0290010741139,risk_score
0.8,112,8,209,923,0.933333333333,0.348909657321,0.507936507937,0.00859291084855,risk_score
0.9,72,2,249,929,0.972972972973,0.224299065421,0.364556962025,0.00214822771214,risk_score
0.1,320,837,1,94,0.276577355229,0.996884735202,0.43301759134,0.89903329753,priority_score
0.2,319,782,2,149,0.289736603088,0.993769470405,0.448663853727,0.839957035446,priority_score
0.3,316,730,5,201,0.302103250478,0.984423676012,0.462326261887,0.78410311493,priority_score
0.4,309,701,12,230,0.305940594059,0.96261682243,0.464312546957,0.752953813104,priority_score
0.5,307,659,14,272,0.317805383023,0.956386292835,0.477078477078,0.707841031149,priority_score
0.6,302,616,19,315,0.328976034858,0.940809968847,0.487489911219,0.661654135338,priority_score
0.7,295,576,26,355,0.338691159587,0.919003115265,0.494966442953,0.618689581096,priority_score
0.8,292,540,29,391,0.350961538462,0.909657320872,0.506504770165,0.580021482277,priority_score
0.9,285,513,36,418,0.357142857143,0.88785046729,0.509383378016,0.551020408163,priority_score
