model,split,n_estimators,max_samples,max_features,bootstrap,threshold_quantile,threshold_value,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
isolation_forest,validation,300,auto,0.75,False,0.9,0.49046729734409383,0.6357851782688385,0.4809403904044876,1.0,0.01680672268907563,0.03305785123966942,0.0,2,2,0,119,362
isolation_forest,holdout,300,auto,0.75,False,0.9,0.49046729734409383,0.7014663094517903,0.6426360661570224,0.9285714285714286,0.19548872180451127,0.32298136645962733,0.007662835249042145,28,26,2,133,394
isolation_forest,validation,300,auto,0.75,False,0.92,0.4960782348669748,0.6357851782688385,0.4809403904044876,1.0,0.008403361344537815,0.016666666666666666,0.0,1,1,0,119,362
isolation_forest,holdout,300,auto,0.75,False,0.92,0.4960782348669748,0.7014663094517903,0.6426360661570224,1.0,0.18045112781954886,0.3057324840764331,0.0,24,24,0,133,394
isolation_forest,validation,300,auto,0.75,False,0.95,0.5078581244452873,0.6357851782688385,0.4809403904044876,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,auto,0.75,False,0.95,0.5078581244452873,0.7014663094517903,0.6426360661570224,1.0,0.18045112781954886,0.3057324840764331,0.0,24,24,0,133,394
isolation_forest,validation,300,auto,0.75,False,0.99,0.540364898230672,0.6357851782688385,0.4809403904044876,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,auto,0.75,False,0.99,0.540364898230672,0.7014663094517903,0.6426360661570224,1.0,0.12030075187969924,0.21476510067114093,0.0,16,16,0,133,394
isolation_forest,validation,300,auto,0.75,True,0.9,0.49975042352770155,0.6161773351315836,0.48172648998680156,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,auto,0.75,True,0.9,0.49975042352770155,0.6980670065969521,0.6366052661792443,1.0,0.18045112781954886,0.3057324840764331,0.0,24,24,0,133,394
isolation_forest,validation,300,auto,0.75,True,0.92,0.5062863593467759,0.6161773351315836,0.48172648998680156,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,auto,0.75,True,0.92,0.5062863593467759,0.6980670065969521,0.6366052661792443,1.0,0.17293233082706766,0.2948717948717949,0.0,23,23,0,133,394
isolation_forest,validation,300,auto,0.75,True,0.95,0.521926432191801,0.6161773351315836,0.48172648998680156,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,auto,0.75,True,0.95,0.521926432191801,0.6980670065969521,0.6366052661792443,1.0,0.16541353383458646,0.2838709677419355,0.0,22,22,0,133,394
isolation_forest,validation,300,auto,0.75,True,0.99,0.5430747465989172,0.6161773351315836,0.48172648998680156,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,auto,0.75,True,0.99,0.5430747465989172,0.6980670065969521,0.6366052661792443,1.0,0.12030075187969924,0.21476510067114093,0.0,16,16,0,133,394
isolation_forest,validation,300,auto,1.0,False,0.9,0.4908943839229222,0.6127537434726977,0.46715291957309,1.0,0.058823529411764705,0.1111111111111111,0.0,7,7,0,119,362
isolation_forest,holdout,300,auto,1.0,False,0.9,0.4908943839229222,0.7152363667790166,0.6929799703112345,0.9696969696969697,0.24060150375939848,0.3855421686746988,0.0038314176245210726,33,32,1,133,394
