model,split,candidate_id,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
leadtime_lgbm,validation,1,150,0.03,7,3,10,0.8,0.8,0.1,1.0,balanced,143,0.45454545454545453,0.33939245066732177,0.4062849457101484,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,1,150,0.03,7,3,10,0.8,0.8,0.1,1.0,balanced,86,0.6162790697674418,0.41827866554527615,0.6065483990846324,0.9651162790697675,0.4186046511627907
leadtime_lgbm,validation,2,150,0.03,7,3,10,0.8,0.9,0.1,1.0,balanced,143,0.4755244755244755,0.3548498727735369,0.43131073506646017,0.7902097902097902,0.6783216783216783
leadtime_lgbm,holdout,2,150,0.03,7,3,10,0.8,0.9,0.1,1.0,balanced,86,0.5813953488372093,0.39409282700421944,0.5691786870768325,0.9651162790697675,0.45348837209302323
leadtime_lgbm,validation,3,150,0.03,7,3,10,0.9,0.8,0.1,1.0,balanced,143,0.45454545454545453,0.33939245066732177,0.4062849457101484,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,3,150,0.03,7,3,10,0.9,0.8,0.1,1.0,balanced,86,0.6162790697674418,0.41827866554527615,0.6065483990846324,0.9651162790697675,0.4186046511627907
leadtime_lgbm,validation,4,150,0.03,7,3,10,0.9,0.9,0.1,1.0,balanced,143,0.4755244755244755,0.3548498727735369,0.43131073506646017,0.7902097902097902,0.6783216783216783
leadtime_lgbm,holdout,4,150,0.03,7,3,10,0.9,0.9,0.1,1.0,balanced,86,0.5813953488372093,0.39409282700421944,0.5691786870768325,0.9651162790697675,0.45348837209302323
leadtime_lgbm,validation,5,150,0.03,7,3,20,0.8,0.8,0.1,1.0,balanced,143,0.44755244755244755,0.334250259795831,0.4048095678390929,0.7902097902097902,0.7062937062937062
leadtime_lgbm,holdout,5,150,0.03,7,3,20,0.8,0.8,0.1,1.0,balanced,86,0.6744186046511628,0.45773792845801814,0.6644979050870872,0.9651162790697675,0.36046511627906974
leadtime_lgbm,validation,6,150,0.03,7,3,20,0.8,0.9,0.1,1.0,balanced,143,0.45454545454545453,0.3385416666666667,0.41466346153846156,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,6,150,0.03,7,3,20,0.8,0.9,0.1,1.0,balanced,86,0.6744186046511628,0.45773792845801814,0.6644979050870872,0.9651162790697675,0.36046511627906974
leadtime_lgbm,validation,7,150,0.03,7,3,20,0.9,0.8,0.1,1.0,balanced,143,0.44755244755244755,0.334250259795831,0.4048095678390929,0.7902097902097902,0.7062937062937062
