candidate_id,split,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
1,validation,450,0.06,15,5,20,0.7,0.7,0.1,1.0,,143,0.45454545454545453,0.33298386267858976,0.4147812717655456,0.7902097902097902,0.6783216783216783
1,holdout,450,0.06,15,5,20,0.7,0.7,0.1,1.0,,86,0.6511627906976745,0.4304989322461658,0.6363620972220342,0.9651162790697675,0.38372093023255816
2,validation,120,0.06,15,5,5,0.7,1.0,0.0,0.5,,143,0.43356643356643354,0.30611079383209594,0.39442795924806207,0.7902097902097902,0.6923076923076923
2,holdout,120,0.06,15,5,5,0.7,1.0,0.0,0.5,,86,0.5930232558139535,0.387962150034143,0.5774138881515813,0.9651162790697675,0.4418604651162791
3,validation,120,0.015,63,3,5,1.0,0.7,0.1,0.5,balanced,143,0.4125874125874126,0.30782197553705415,0.36678289333238456,0.7902097902097902,0.7482517482517482
3,holdout,120,0.015,63,3,5,1.0,0.7,0.1,0.5,balanced,86,0.627906976744186,0.4285511565205051,0.6202738424069618,0.9418604651162791,0.4069767441860465
4,validation,240,0.015,15,4,20,0.85,1.0,0.0,1.0,balanced,143,0.4125874125874126,0.308499132741557,0.3737746184027176,0.7902097902097902,0.7482517482517482
4,holdout,240,0.015,15,4,20,0.85,1.0,0.0,1.0,balanced,86,0.6627906976744186,0.44986449864498645,0.6524862923047835,0.9651162790697675,0.37209302325581395
5,validation,180,0.06,15,5,45,0.85,0.7,0.5,0.5,,143,0.4405594405594406,0.32048715382048715,0.3978243978243978,0.7902097902097902,0.6573426573426573
5,holdout,180,0.06,15,5,45,0.85,0.7,0.5,0.5,,86,0.6511627906976745,0.4405430711610487,0.6431767703161746,0.9651162790697675,0.38372093023255816
6,validation,180,0.04,63,3,10,1.0,0.85,0.0,1.0,balanced,143,0.45454545454545453,0.3387657938106574,0.4120764787309376,0.7902097902097902,0.6923076923076923
6,holdout,180,0.04,63,3,10,1.0,0.85,0.0,1.0,balanced,86,0.5813953488372093,0.39409282700421944,0.5691786870768325,0.9651162790697675,0.45348837209302323
7,validation,180,0.015,7,-1,30,1.0,0.7,0.0,5.0,balanced,143,0.44755244755244755,0.3338427369236099,0.40049637995722726,0.7902097902097902,0.6923076923076923
7,holdout,180,0.015,7,-1,30,1.0,0.7,0.0,5.0,balanced,86,0.686046511627907,0.4646464646464647,0.6772374911909794,0.9651162790697675,0.3488372093023256
8,validation,120,0.06,7,4,30,1.0,0.85,0.0,0.5,balanced,143,0.44755244755244755,0.33398501140436626,0.4035334167298977,0.7902097902097902,0.6993006993006993
8,holdout,120,0.06,7,4,30,1.0,0.85,0.0,0.5,balanced,86,0.6395348837209303,0.43389513108614236,0.6280114972563365,0.9651162790697675,0.3953488372093023
9,validation,450,0.015,31,3,30,1.0,0.7,0.5,0.5,,143,0.4825174825174825,0.3402603529992065,0.4342898946257371,0.7902097902097902,0.6363636363636364
