candidate_id,split,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
1,validation,260,0.04,11,5,120,0.65,0.8,0.1,5.0,,0.7491987179487181,0.7563894449915097,0.8493150684931506,0.43356643356643354,0.5740740740740741,0.03819444444444445,73,62,11,143,431
1,holdout,260,0.04,11,5,120,0.65,0.8,0.1,5.0,,0.5392306020430341,0.3369039175999079,0.35714285714285715,0.11627906976744186,0.17543859649122806,0.08411214953271028,28,10,18,86,300
2,validation,80,0.06,5,3,40,0.65,0.65,0.0,5.0,balanced,0.7461635586635587,0.7267973693136944,0.48148148148148145,0.45454545454545453,0.4676258992805755,0.24305555555555555,135,65,70,143,431
2,holdout,80,0.06,5,3,40,0.65,0.65,0.0,5.0,balanced,0.5952510323842642,0.3344208815794013,0.3673469387755102,0.4186046511627907,0.391304347826087,0.2897196261682243,98,36,62,86,300
3,validation,80,0.015,31,2,60,0.8,1.0,0.0,1.0,,0.8396464646464645,0.8229032360575774,1.0,0.15384615384615385,0.26666666666666666,0.0,22,22,0,143,431
3,holdout,80,0.015,31,2,60,0.8,1.0,0.0,1.0,,0.6901217126711584,0.5215726510185633,1.0,0.06976744186046512,0.13043478260869565,0.0,6,6,0,86,300
4,validation,400,0.015,7,4,60,0.8,0.95,0.1,0.5,balanced,0.7783119658119659,0.8013622636303546,0.6944444444444444,0.5244755244755245,0.5976095617529881,0.11458333333333333,108,75,33,143,431
4,holdout,400,0.015,7,4,60,0.8,0.95,0.1,0.5,balanced,0.6619756574657681,0.43666884733418015,0.5064935064935064,0.45348837209302323,0.4785276073619632,0.17757009345794392,77,39,38,86,300
5,validation,120,0.04,15,2,40,0.95,0.65,0.1,1.0,balanced,0.7589476495726495,0.7274432428652067,0.45774647887323944,0.45454545454545453,0.45614035087719296,0.2673611111111111,142,65,77,143,431
5,holdout,120,0.04,15,2,40,0.95,0.65,0.1,1.0,balanced,0.630189089328407,0.36177505745382266,0.46153846153846156,0.5581395348837209,0.5052631578947369,0.2616822429906542,104,48,56,86,300
6,validation,120,0.025,31,2,90,0.65,0.8,0.0,5.0,,0.8035766317016317,0.8071977643056045,1.0,0.2937062937062937,0.4540540540540541,0.0,42,42,0,143,431
6,holdout,120,0.025,31,2,90,0.65,0.8,0.0,5.0,,0.6324712019126276,0.4229635694534415,1.0,0.05813953488372093,0.10989010989010989,0.0,5,5,0,86,300
7,validation,120,0.025,5,4,120,0.8,0.65,0.1,1.0,balanced,0.6736596736596736,0.6093376871953972,0.4492753623188406,0.43356643356643354,0.4412811387900356,0.2638888888888889,138,62,76,143,431
7,holdout,120,0.025,5,4,120,0.8,0.65,0.1,1.0,balanced,0.5466202999347968,0.3206935388961399,0.4268292682926829,0.4069767441860465,0.4166666666666667,0.21962616822429906,82,35,47,86,300
8,validation,80,0.06,31,-1,40,0.95,0.65,1.0,0.5,balanced,0.7747668997668997,0.7690494640473472,0.6619718309859155,0.6573426573426573,0.6596491228070176,0.16666666666666666,142,94,48,143,431
8,holdout,80,0.06,31,-1,40,0.95,0.65,1.0,0.5,balanced,0.5718322103890459,0.3338220038830541,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.2336448598130841,86,36,50,86,300
9,validation,400,0.015,5,5,40,0.95,0.8,0.1,2.0,balanced,0.741598679098679,0.7135792880441508,0.45,0.4405594405594406,0.4452296819787986,0.2673611111111111,140,63,77,143,431
