feature_set,param_set,feature_count,evaluation_split_column,split,threshold_quantile,threshold_value,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision,recall,f1,false_positive_rate
contract_195_full,default_300_auto,195,split_time_based,train,0.95,0.5160815367097453,1770,1263,507,0.6158984041315486,0.40707710580536116,0.49206349206349204,0.1222879684418146,0.19589257503949448,0.050673000791765635
contract_195_full,default_300_auto,195,split_time_based,train,0.975,0.5244790383958161,1770,1263,507,0.6158984041315486,0.40707710580536116,0.5492957746478874,0.07692307692307693,0.13494809688581316,0.025336500395882817
contract_195_full,default_300_auto,195,split_time_based,train,0.99,0.5357784270858823,1770,1263,507,0.6158984041315486,0.40707710580536116,0.6176470588235294,0.04142011834319527,0.07763401109057301,0.010292953285827395
contract_195_full,default_300_auto,195,split_time_based,validation,0.95,0.5160815367097453,362,243,119,0.6127537434726977,0.46715291957309,0.0,0.0,0.0,0.0
contract_195_full,default_300_auto,195,split_time_based,validation,0.975,0.5244790383958161,362,243,119,0.6127537434726977,0.46715291957309,0.0,0.0,0.0,0.0
contract_195_full,default_300_auto,195,split_time_based,validation,0.99,0.5357784270858823,362,243,119,0.6127537434726977,0.46715291957309,0.0,0.0,0.0,0.0
contract_195_full,default_300_auto,195,split_time_based,holdout,0.95,0.5160815367097453,394,261,133,0.7152363667790166,0.6929799703112345,1.0,0.15037593984962405,0.26143790849673204,0.0
contract_195_full,default_300_auto,195,split_time_based,holdout,0.975,0.5244790383958161,394,261,133,0.7152363667790166,0.6929799703112345,1.0,0.13533834586466165,0.23841059602649006,0.0
contract_195_full,default_300_auto,195,split_time_based,holdout,0.99,0.5357784270858823,394,261,133,0.7152363667790166,0.6929799703112345,1.0,0.12781954887218044,0.22666666666666666,0.0
contract_195_full,default_300_auto,195,split_substation_based,train,0.95,0.5160815367097453,2021,1380,641,0.6520959099233534,0.5040015307580781,0.6470588235294118,0.12012480499219969,0.2026315789473684,0.030434782608695653
contract_195_full,default_300_auto,195,split_substation_based,train,0.975,0.5244790383958161,2021,1380,641,0.6520959099233534,0.5040015307580781,0.8153846153846154,0.08268330733229329,0.1501416430594901,0.008695652173913044
contract_195_full,default_300_auto,195,split_substation_based,train,0.99,0.5357784270858823,2021,1380,641,0.6520959099233534,0.5040015307580781,0.9,0.056162246489859596,0.10572687224669604,0.002898550724637681
contract_195_full,default_300_auto,195,split_substation_based,validation,0.95,0.5160815367097453,249,196,53,0.5219484020023104,0.23083319248513626,0.0,0.0,0.0,0.07142857142857142
contract_195_full,default_300_auto,195,split_substation_based,validation,0.975,0.5244790383958161,249,196,53,0.5219484020023104,0.23083319248513626,0.0,0.0,0.0,0.0663265306122449
contract_195_full,default_300_auto,195,split_substation_based,validation,0.99,0.5357784270858823,249,196,53,0.5219484020023104,0.23083319248513626,0.0,0.0,0.0,0.025510204081632654
contract_195_full,default_300_auto,195,split_substation_based,holdout,0.95,0.5160815367097453,256,191,65,0.555618203785743,0.3304512812001653,0.38461538461538464,0.07692307692307693,0.1282051282051282,0.041884816753926704
contract_195_full,default_300_auto,195,split_substation_based,holdout,0.975,0.5244790383958161,256,191,65,0.555618203785743,0.3304512812001653,0.36363636363636365,0.06153846153846154,0.10526315789473684,0.03664921465968586
contract_195_full,default_300_auto,195,split_substation_based,holdout,0.99,0.5357784270858823,256,191,65,0.555618203785743,0.3304512812001653,0.3333333333333333,0.03076923076923077,0.056338028169014086,0.020942408376963352
contract_195_full,trees_600,195,split_time_based,train,0.95,0.5124087872258674,1770,1263,507,0.6183595927794722,0.40344755532972176,0.4838709677419355,0.11834319526627218,0.1901743264659271,0.050673000791765635
contract_195_full,trees_600,195,split_time_based,train,0.975,0.5248971218675281,1770,1263,507,0.6183595927794722,0.40344755532972176,0.5076923076923077,0.0650887573964497,0.11538461538461539,0.025336500395882817
