feature_set,param_set,feature_count,evaluation_split_column,split,threshold_quantile,threshold_value,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision,recall,f1,false_positive_rate,delta_roc_auc_vs_baseline,delta_ap_vs_baseline,delta_f1_vs_baseline,delta_recall_vs_baseline,delta_fpr_vs_baseline
thermal_core_plus_cyclic_event,trees_600,121,split_time_based,holdout,0.99,0.5228940092556549,394,261,133,0.7475009362486678,0.6624551019714837,1.0,0.20300751879699247,0.3375,0.0,0.03226456946965117,-0.030524868339750766,0.11083333333333337,0.07518796992481203,0.0
thermal_core_plus_cyclic_event,default_300_auto,121,split_time_based,holdout,0.99,0.5356510495768813,394,261,133,0.7435542880188978,0.6515526568689504,1.0,0.17293233082706766,0.2948717948717949,0.0,0.028317921239881194,-0.04142731344228412,0.06820512820512822,0.045112781954887216,0.0
thermal_core_plus_cyclic_event,max_samples_512,121,split_time_based,holdout,0.99,0.5250056497274165,394,261,133,0.742056290150664,0.6604698518300078,1.0,0.18045112781954886,0.3057324840764331,0.0,0.026819923371647403,-0.032510118481226646,0.07906581740976645,0.05263157894736842,0.0
thermal_core_plus_cyclic_event,max_samples_256,121,split_time_based,holdout,0.99,0.5350789792125814,394,261,133,0.7401837928153717,0.6488738845616417,1.0,0.17293233082706766,0.2948717948717949,0.0,0.024947426036355136,-0.04410608574959274,0.06820512820512822,0.045112781954887216,0.0
thermal_core_plus_cyclic_event,max_features_075,121,split_time_based,holdout,0.99,0.5292636705727524,394,261,133,0.7319448045400858,0.6497937090481419,1.0,0.19548872180451127,0.3270440251572327,0.0,0.016708437761069228,-0.04318626126309255,0.10037735849056603,0.06766917293233082,0.0
sensor_numeric_only,max_samples_256,137,split_time_based,holdout,0.99,0.5474793969324694,394,261,133,0.7262408895802724,0.6603274239183075,1.0,0.13533834586466165,0.23841059602649006,0.0,0.011004522801255856,-0.03265254639292703,0.011743929359823407,0.007518796992481203,0.0
thermal_core_plus_cyclic_event,bootstrap_true,121,split_time_based,holdout,0.99,0.5373370351389056,394,261,133,0.724800507014663,0.6415960465112402,1.0,0.18045112781954886,0.3057324840764331,0.0,0.009564140235646446,-0.051383923799994236,0.07906581740976645,0.05263157894736842,0.0
sensor_cyclic_event,max_samples_512,145,split_time_based,holdout,0.99,0.5324120113720242,394,261,133,0.7211131276467029,0.6457885138694073,1.0,0.14285714285714285,0.25,0.0,0.005876760867686293,-0.047191456441827206,0.023333333333333345,0.015037593984962405,0.0
contract_195_full,max_samples_512,195,split_time_based,holdout,0.99,0.5285582172419183,394,261,133,0.7203065134099618,0.6788308483670523,1.0,0.15789473684210525,0.2727272727272727,0.0,0.005070146630945183,-0.014149121944182164,0.04606060606060605,0.03007518796992481,0.0
no_drift_candidates,bootstrap_true,190,split_time_based,holdout,0.99,0.551771111765988,394,261,133,0.7201624751534008,0.7066298572175891,0.0,0.0,0.0,0.0,0.0049261083743842304,0.013649886906354602,-0.22666666666666666,-0.12781954887218044,0.0
no_drift_candidates,max_samples_512,190,split_time_based,holdout,0.99,0.5338593181250884,394,261,133,0.7163022498775674,0.6941401047759537,1.0,0.14285714285714285,0.25,0.0,0.0010658830985508239,0.001160134464719187,0.023333333333333345,0.015037593984962405,0.0
sensor_cyclic_event,max_features_075,145,split_time_based,holdout,0.99,0.5419966974111615,394,261,133,0.7161582116210066,0.6394498181484876,1.0,0.13533834586466165,0.23841059602649006,0.0,0.0009218448419899827,-0.053530152162746925,0.011743929359823407,0.007518796992481203,0.0
contract_195_full,default_300_auto,195,split_time_based,holdout,0.99,0.5357784270858823,394,261,133,0.7152363667790166,0.6929799703112345,1.0,0.12781954887218044,0.22666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
sensor_plus_cyclic,bootstrap_true,143,split_time_based,holdout,0.99,0.5541229956879319,394,261,133,0.7142280989830899,0.6519053647661597,1.0,0.13533834586466165,0.23841059602649006,0.0,-0.001008267795926665,-0.041074605545074805,0.011743929359823407,0.007518796992481203,0.0
sensor_numeric_only,trees_600,137,split_time_based,holdout,0.99,0.5501840053732941,394,261,133,0.7140840607265289,0.6526050494688274,1.0,0.13533834586466165,0.23841059602649006,0.0,-0.0011523060524877282,-0.040374920842407125,0.011743929359823407,0.007518796992481203,0.0
