manufacturer,substation_id,window_start,window_end,label,fault_event_id,fault_label,configuration_type,lead_time_bucket,estimated_lead_time_hours,split_event_regime_based,priority_regression_target,target,priority_v2_threshold48_score,risk_gated_urgency_x8_score,priority_lgbm_guarded_score,priority_lgbm_leak_diagnostic_score,model_version
manufacturer 1,13,2016-07-20 00:00:00,2016-07-20 06:00:00,pre_fault,24.0,Failure of the heating circuit pump,SH + DHW,6-24h,9.283333333333331,train,70.0,1,79.0685,86.60705311633927,73.39253853628902,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,10,2016-09-28 18:00:00,2016-09-29 00:00:00,pre_fault,40.0,unknown,SH,6-24h,12.066666666666666,train,70.0,1,79.0081,86.50517291898576,76.73855715100153,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,10,2016-09-28 12:00:00,2016-09-28 18:00:00,pre_fault,40.0,unknown,SH,6-24h,18.066666666666663,train,70.0,1,78.9966,86.28998212787265,76.30743545103452,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,10,2016-09-29 00:00:00,2016-09-29 06:00:00,pre_fault,40.0,unknown,SH,6-24h,6.066666666666666,train,70.0,1,78.993,86.35110507240142,77.59269901196305,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,10,2019-10-13 18:00:00,2019-10-14 00:00:00,pre_fault,25.0,Failure of the heating circuit pump,SH,6-24h,11.533333333333331,train,70.0,1,78.912,86.4658343771232,74.60040807184274,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,10,2019-10-13 12:00:00,2019-10-13 18:00:00,pre_fault,25.0,Failure of the heating circuit pump,SH,6-24h,17.533333333333335,train,70.0,1,78.9087,86.49407018007356,74.53041203308446,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,10,2019-10-14 00:00:00,2019-10-14 06:00:00,pre_fault,25.0,Failure of the heating circuit pump,SH,0-6h,5.533333333333333,train,70.0,1,78.9053,86.47040259255938,75.92066600297065,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,13,2016-07-19 18:00:00,2016-07-20 00:00:00,pre_fault,24.0,Failure of the heating circuit pump,SH + DHW,6-24h,15.283333333333331,train,70.0,1,78.8303,86.46065051892074,71.34003219797458,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,10,2019-10-13 06:00:00,2019-10-13 12:00:00,pre_fault,25.0,Failure of the heating circuit pump,SH,6-24h,23.53333333333333,train,70.0,1,78.8075,86.3121925629771,74.27789617979202,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,16,2018-05-18 06:00:00,2018-05-18 12:00:00,pre_fault,31.0,Motorised control valve (primary side): Actuator defective,SH,6-24h,22.95,train,70.0,1,78.7871,86.38972145889393,76.03724693350411,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,13,2016-07-19 12:00:00,2016-07-19 18:00:00,pre_fault,24.0,Failure of the heating circuit pump,SH + DHW,6-24h,21.28333333333333,train,70.0,1,78.7506,86.42109638626731,74.04572929056967,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,57,2019-11-04 00:00:00,2019-11-04 06:00:00,pre_fault,24.0,Air in the piping system,,6-24h,7.25,train,70.0,1,78.7496,86.3957472089361,75.97369031756467,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,13,2016-07-20 06:00:00,2016-07-20 12:00:00,pre_fault,24.0,Failure of the heating circuit pump,SH + DHW,0-6h,3.283333333333333,train,70.0,1,78.7481,86.37807388316907,69.54730798211362,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,16,2018-05-18 12:00:00,2018-05-18 18:00:00,pre_fault,31.0,Motorised control valve (primary side): Actuator defective,SH,6-24h,16.95,train,70.0,1,78.7086,86.21849461841039,75.05954369587481,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,16,2018-05-19 00:00:00,2018-05-19 06:00:00,pre_fault,31.0,Motorised control valve (primary side): Actuator defective,SH,0-6h,4.95,train,70.0,1,78.6833,85.80322311789874,74.88997470723022,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,57,2019-11-03 12:00:00,2019-11-03 18:00:00,pre_fault,24.0,Air in the piping system,,6-24h,19.25,train,70.0,1,78.6701,86.18059376919419,74.68161603798015,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,21,2019-01-21 00:00:00,2019-01-21 06:00:00,pre_fault,62.0,Control unit: Incorrect parameterisation,SH + DHW,0-6h,2.283333333333333,train,70.0,1,78.6568,86.31361877067901,75.54002102856627,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,31,2020-01-13 00:00:00,2020-01-13 06:00:00,pre_fault,45.0,"Heat exchanger: Leakage, external",SH + DHW,6-24h,9.8,train,70.0,1,78.6515,86.30958288181762,76.7165413700141,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,57,2019-11-04 06:00:00,2019-11-04 12:00:00,pre_fault,24.0,Air in the piping system,,0-6h,1.25,train,70.0,1,78.6313,86.47209837657637,74.90611427197199,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,20,2017-01-10 12:00:00,2017-01-10 18:00:00,pre_fault,36.0,Failure of the domestic hot water storage charging pump,SH + DHW,6-24h,15.0,train,70.0,1,78.6289,86.33310797286693,76.28657786044958,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,57,2019-11-03 18:00:00,2019-11-04 00:00:00,pre_fault,24.0,Air in the piping system,,6-24h,13.25,train,70.0,1,78.595,86.41571915763484,75.1199827387587,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,20,2017-01-10 18:00:00,2017-01-11 00:00:00,pre_fault,36.0,Failure of the domestic hot water storage charging pump,SH + DHW,6-24h,9.0,train,70.0,1,78.5725,86.23694181414635,76.60194572415007,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,7,2017-11-26 00:00:00,2017-11-26 06:00:00,pre_fault,67.0,Motorised control valve (primary side) defective,SH + DHW,6-24h,7.25,train,70.0,1,78.5476,86.38787707529082,74.51343399983786,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,7,2017-11-26 06:00:00,2017-11-26 12:00:00,pre_fault,67.0,Motorised control valve (primary side) defective,SH + DHW,0-6h,1.25,train,70.0,1,78.5425,86.24090895910919,74.21559115271724,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,7,2017-11-25 12:00:00,2017-11-25 18:00:00,pre_fault,67.0,Motorised control valve (primary side) defective,SH + DHW,6-24h,19.25,train,70.0,1,78.5372,86.29662711749789,74.6882701516458,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,7,2017-11-25 18:00:00,2017-11-26 00:00:00,pre_fault,67.0,Motorised control valve (primary side) defective,SH + DHW,6-24h,13.25,train,70.0,1,78.536,86.02847714187108,75.13339810703378,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,50,2019-11-17 18:00:00,2019-11-18 00:00:00,pre_fault,20.0,Failure of the domestic hot water storage charging pump,SH with buffer tank,6-24h,6.844444444444444,train,70.0,1,78.5339,86.25222970461685,76.19372478848933,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,21,2018-12-02 12:00:00,2018-12-02 18:00:00,pre_fault,30.0,Control unit: Incorrect parameterisation,SH + DHW with sub-circuits,6-24h,20.416666666666668,train,70.0,1,78.5332,86.23792500678233,76.46358384278992,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,21,2019-01-20 18:00:00,2019-01-21 00:00:00,pre_fault,62.0,Control unit: Incorrect parameterisation,SH + DHW,6-24h,8.283333333333333,train,70.0,1,78.5235,86.20313899153587,75.62093456936269,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,19,2018-12-27 18:00:00,2018-12-28 00:00:00,pre_fault,29.0,Leakage,SH + DHW,6-24h,9.016666666666667,train,70.0,1,78.5164,86.19345913674324,76.57230780500805,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,53,2019-11-14 06:00:00,2019-11-14 12:00:00,pre_fault,21.0,Failure of the domestic hot water storage charging pump,SH with buffer tank,6-24h,21.83333333333333,train,70.0,1,78.5145,86.29331867010187,76.15831900006098,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,20,2017-01-10 06:00:00,2017-01-10 12:00:00,pre_fault,36.0,Failure of the domestic hot water storage charging pump,SH + DHW,6-24h,21.0,train,70.0,1,78.507,86.16877545231401,76.53388052408538,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,16,2018-05-18 18:00:00,2018-05-19 00:00:00,pre_fault,31.0,Motorised control valve (primary side): Actuator defective,SH,6-24h,10.95,train,70.0,1,78.5057,86.05150792089574,75.7356768654142,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,53,2019-11-14 12:00:00,2019-11-14 18:00:00,pre_fault,21.0,Failure of the domestic hot water storage charging pump,SH with buffer tank,6-24h,15.833333333333334,train,70.0,1,78.4725,85.99694400332524,74.79734186006506,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,50,2019-11-17 12:00:00,2019-11-17 18:00:00,pre_fault,20.0,Failure of the domestic hot water storage charging pump,SH with buffer tank,6-24h,12.844444444444443,train,70.0,1,78.4699,86.30228463363531,76.51481204384471,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,19,2018-12-27 12:00:00,2018-12-27 18:00:00,pre_fault,29.0,Leakage,SH + DHW,6-24h,15.016666666666667,train,70.0,1,78.4677,86.00659850583374,76.05586688281679,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,53,2019-11-14 18:00:00,2019-11-15 00:00:00,pre_fault,21.0,Failure of the domestic hot water storage charging pump,SH with buffer tank,6-24h,9.833333333333334,train,70.0,1,78.4363,85.92262930994144,75.79650411152629,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,50,2019-11-18 00:00:00,2019-11-18 06:00:00,pre_fault,20.0,Failure of the domestic hot water storage charging pump,SH with buffer tank,0-6h,0.8444444444444444,train,70.0,1,78.4237,86.3372349937967,75.78031779367716,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,39,2019-10-02 12:00:00,2019-10-02 18:00:00,pre_fault,27.0,Leakage,SH with buffer tank,6-24h,18.28333333333333,train,70.0,1,78.417,85.95437771867233,75.78031779367716,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,39,2019-10-03 06:00:00,2019-10-03 12:00:00,pre_fault,27.0,Leakage,SH with buffer tank,0-6h,0.2833333333333333,train,70.0,1,78.4164,86.03487691735205,75.37539160152853,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,8,2018-04-26 12:00:00,2018-04-26 18:00:00,pre_fault,44.0,Temperature monitor/controller defective,SH + DHW,6-24h,14.25,train,70.0,1,78.4107,86.35609671619157,74.06036651587573,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,21,2019-01-20 06:00:00,2019-01-20 12:00:00,pre_fault,62.0,Control unit: Incorrect parameterisation,SH + DHW,6-24h,20.28333333333333,train,70.0,1,78.3764,86.05695220009697,75.45734907952291,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,53,2019-11-15 00:00:00,2019-11-15 06:00:00,pre_fault,21.0,Failure of the domestic hot water storage charging pump,SH with buffer tank,0-6h,3.8333333333333335,train,70.0,1,78.3681,85.84396696415023,75.99105575875488,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,21,2019-01-20 12:00:00,2019-01-20 18:00:00,pre_fault,62.0,Control unit: Incorrect parameterisation,SH + DHW,6-24h,14.283333333333331,train,70.0,1,78.352,86.09904598768136,75.34991564415317,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,19,2018-12-28 00:00:00,2018-12-28 06:00:00,pre_fault,29.0,Leakage,SH + DHW,0-6h,3.0166666666666666,train,70.0,1,78.3287,85.82301496904023,76.8954695888113,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,31,2020-01-12 18:00:00,2020-01-13 00:00:00,pre_fault,45.0,"Heat exchanger: Leakage, external",SH + DHW,6-24h,15.8,train,70.0,1,78.3193,86.15105089980715,77.31675748879015,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,39,2019-10-03 00:00:00,2019-10-03 06:00:00,pre_fault,27.0,Leakage,SH with buffer tank,6-24h,6.283333333333333,train,70.0,1,78.3165,85.65349614321309,75.50738655905633,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,8,2018-04-26 18:00:00,2018-04-27 00:00:00,pre_fault,44.0,Temperature monitor/controller defective,SH + DHW,6-24h,8.25,train,70.0,1,78.2954,86.2187871850092,74.22416555659758,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,52,2019-02-19 18:00:00,2019-02-20 00:00:00,pre_fault,28.0,Low pre-charge at the expansion vessel,SH + DHW,6-24h,9.266666666666667,train,70.0,1,78.2518,85.8888039590324,75.39535457069988,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,26,2019-11-15 00:00:00,2019-11-15 06:00:00,pre_fault,22.0,Incorrect setting of the differential pressure regulator,SH + DHW,0-6h,3.0,train,70.0,1,78.2469,85.93593184450933,75.58325578751591,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,8,2018-04-27 00:00:00,2018-04-27 06:00:00,pre_fault,44.0,Temperature monitor/controller defective,SH + DHW,0-6h,2.25,train,70.0,1,78.2354,86.05879155608268,74.22416555659758,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,21,2018-12-03 06:00:00,2018-12-03 12:00:00,pre_fault,30.0,Control unit: Incorrect parameterisation,SH + DHW with sub-circuits,0-6h,2.4166666666666665,train,70.0,1,78.2017,85.98202566306897,76.10176340496358,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
