variant,split,rows,urgent,high,medium,low
official_priority_v2,holdout,300,14,23,50,213
official_priority_v2,train,1631,269,138,0,1224
official_priority_v2,validation,431,33,61,42,295
risk_gated_urgency_x5,holdout,300,14,27,46,213
risk_gated_urgency_x5,train,1631,291,116,0,1224
risk_gated_urgency_x5,validation,431,40,57,39,295
risk_gated_urgency_x8,holdout,300,18,26,43,213
risk_gated_urgency_x8,train,1631,296,111,0,1224
risk_gated_urgency_x8,validation,431,45,54,37,295
short_bucket_bonus,holdout,300,18,23,50,209
short_bucket_bonus,train,1631,344,63,0,1224
short_bucket_bonus,validation,431,43,55,38,295
urgency_prob_0_24h_x3,holdout,300,14,26,48,212
urgency_prob_0_24h_x3,train,1631,283,124,0,1224
urgency_prob_0_24h_x3,validation,431,34,63,39,295
urgency_prob_0_24h_x5,holdout,300,14,27,47,212
urgency_prob_0_24h_x5,train,1631,291,116,0,1224
urgency_prob_0_24h_x5,validation,431,40,57,39,295
urgency_prob_0_24h_x8,holdout,300,18,26,48,208
urgency_prob_0_24h_x8,train,1631,296,111,0,1224
urgency_prob_0_24h_x8,validation,431,45,54,38,294
