split_strategy,safe_feature,median
split_time_based,f_0000,-0.2225209339563143
split_time_based,f_0001,0.0
split_time_based,f_0002,0.5147928015098306
split_time_based,f_0003,-0.229679280721959
split_time_based,f_0004,0.7071067811865474
split_time_based,f_0005,-0.7071067811865471
split_time_based,f_0006,0.0
split_time_based,f_0007,0.0
split_time_based,f_0008,1.0
split_time_based,f_0009,0.0
split_time_based,f_0010,0.0
split_time_based,f_0011,0.0
split_time_based,f_0012,1.0
split_time_based,f_0013,0.0
split_time_based,f_0014,0.0
split_time_based,f_0015,0.0
split_time_based,f_0016,1.0
split_time_based,f_0017,1.0
split_time_based,f_0018,0.0
split_time_based,f_0019,0.0
split_time_based,f_0020,1.0
split_time_based,f_0021,0.0
split_time_based,f_0022,0.0
split_time_based,f_0023,0.0
split_time_based,f_0024,1.0
split_time_based,f_0025,1.0
split_time_based,f_0026,0.0
split_time_based,f_0027,0.0
split_time_based,f_0028,0.0
split_time_based,f_0029,1.0
split_time_based,f_0030,0.0
split_time_based,f_0031,0.0
split_time_based,f_0032,0.0
split_time_based,f_0033,1.0
split_time_based,f_0034,1.0
split_time_based,f_0035,0.0
split_time_based,f_0036,0.0
split_time_based,f_0037,0.0
split_time_based,f_0038,1.0
split_time_based,f_0039,1.0
split_time_based,f_0040,0.0
split_time_based,f_0041,0.0
split_time_based,f_0042,0.0
split_time_based,f_0043,0.0
split_time_based,f_0044,0.0
split_time_based,f_0045,1.0
split_time_based,f_0046,0.0
split_time_based,f_0047,0.0
split_time_based,f_0048,0.0
split_time_based,f_0049,0.0
split_time_based,f_0050,301.0
split_time_based,f_0051,301.0
split_time_based,f_0052,10.0
split_time_based,f_0053,0.0
split_time_based,f_0054,1.0
split_time_based,f_0055,10.0
split_time_based,f_0056,0.0
split_time_based,f_0057,0.0
split_time_based,f_0058,38.7825
split_time_based,f_0059,45.0
split_time_based,f_0060,39.14520833333333
split_time_based,f_0061,-0.2000000000000001
split_time_based,f_0062,9.3
split_time_based,f_0063,9.2
split_time_based,f_0064,10.4
split_time_based,f_0065,9.121527777777779
split_time_based,f_0066,8.1
split_time_based,f_0067,0.5039946219271116
split_time_based,f_0068,-0.0500000000000007
split_time_based,f_0069,44.4
split_time_based,f_0070,44.5
split_time_based,f_0071,48.275
split_time_based,f_0072,44.32291666666667
split_time_based,f_0073,39.9
split_time_based,f_0074,1.7352538115831662
split_time_based,f_0075,1045.8333333332557
split_time_based,f_0076,8684895.0
split_time_based,f_0077,8685464.166666668
split_time_based,f_0078,8685464.166666668
split_time_based,f_0079,8685168.125
split_time_based,f_0080,8684895.0
split_time_based,f_0081,0.0
split_time_based,f_0082,0.0
split_time_based,f_0083,324.613171384132
split_time_based,f_0084,0.5833333333333286
split_time_based,f_0085,3828.0
split_time_based,f_0086,3637.5
split_time_based,f_0087,6246.0
split_time_based,f_0088,4231.916666666666
split_time_based,f_0089,1686.0
split_time_based,f_0090,0.0
split_time_based,f_0091,0.0
split_time_based,f_0092,1086.502051148854
split_time_based,f_0093,0.1666666666666668
split_time_based,f_0094,162.0
split_time_based,f_0095,153.66666666666669
split_time_based,f_0096,340.0
split_time_based,f_0097,210.3263888888889
split_time_based,f_0098,82.0
split_time_based,f_0099,0.0
split_time_based,f_0100,0.0
split_time_based,f_0101,69.13920421385814
split_time_based,f_0102,21.888333333330593
split_time_based,f_0103,231498.65000000002
