split,model_key,model,n,level_accuracy,level_macro_f1,action_definition,tp,fp,fn,tn,action_precision,action_recall,action_specificity,action_f1,action_rate
all,rule_based,Rule-based v2_threshold48,2362,0.8344623200677392,0.5139368441840304,predicted high/urgent vs true <=3d,486,71,81,1724,0.8725314183123878,0.8571428571428571,0.9604456824512535,0.8647686832740212,0.23581710414902624
all,lgbm_priority_only,LGBM priority-only package,2362,0.7785774767146486,0.6418052185890523,predicted high/urgent vs true <=3d,387,22,180,1773,0.9462102689486552,0.6825396825396826,0.9877437325905293,0.7930327868852459,0.17315834038950043
all,lgbm_prediction_bundle,LGBM prediction+priority package,2362,0.7785774767146486,0.6418052185890523,predicted high/urgent vs true <=3d,387,22,180,1773,0.9462102689486552,0.6825396825396826,0.9877437325905293,0.7930327868852459,0.17315834038950043
train,rule_based,Rule-based v2_threshold48,1652,0.8716707021791767,0.5313710857918515,predicted high/urgent vs true <=3d,352,46,19,1235,0.8844221105527639,0.9487870619946092,0.9640905542544886,0.9154746423927179,0.24092009685230023
train,lgbm_priority_only,LGBM priority-only package,1652,0.9176755447941889,0.7813797485301682,predicted high/urgent vs true <=3d,311,10,60,1271,0.9688473520249221,0.8382749326145552,0.9921935987509758,0.898843930635838,0.19430992736077482
train,lgbm_prediction_bundle,LGBM prediction+priority package,1652,0.9176755447941889,0.7813797485301682,predicted high/urgent vs true <=3d,311,10,60,1271,0.9688473520249221,0.8382749326145552,0.9921935987509758,0.898843930635838,0.19430992736077482
validation,rule_based,Rule-based v2_threshold48,344,0.8081395348837209,0.5278550304771332,predicted high/urgent vs true <=3d,58,15,31,240,0.7945205479452054,0.651685393258427,0.9411764705882353,0.7160493827160495,0.21220930232558138
validation,lgbm_priority_only,LGBM priority-only package,344,0.5465116279069767,0.4588778529149198,predicted high/urgent vs true <=3d,41,5,48,250,0.8913043478260869,0.4606741573033708,0.9803921568627451,0.6074074074074074,0.13372093023255813
validation,lgbm_prediction_bundle,LGBM prediction+priority package,344,0.5465116279069767,0.4588778529149198,predicted high/urgent vs true <=3d,41,5,48,250,0.8913043478260869,0.4606741573033708,0.9803921568627451,0.6074074074074074,0.13372093023255813
holdout,rule_based,Rule-based v2_threshold48,366,0.6912568306010929,0.41770058482675826,predicted high/urgent vs true <=3d,76,10,31,249,0.8837209302325582,0.7102803738317757,0.9613899613899614,0.7875647668393783,0.23497267759562843
holdout,lgbm_priority_only,LGBM priority-only package,366,0.36885245901639346,0.30792901162764175,predicted high/urgent vs true <=3d,35,7,72,252,0.8333333333333334,0.32710280373831774,0.972972972972973,0.46979865771812074,0.11475409836065574
holdout,lgbm_prediction_bundle,LGBM prediction+priority package,366,0.36885245901639346,0.30792901162764175,predicted high/urgent vs true <=3d,35,7,72,252,0.8333333333333334,0.32710280373831774,0.972972972972973,0.46979865771812074,0.11475409836065574
