manufacturer,substation_id,window_start,window_end,anomaly_score,risk_score,risk_probability,risk_level_calibrated,predicted_lead_time_bucket,predicted_lead_time_confidence,leadtime_prob_0-24h,leadtime_prob_1-3d,leadtime_prob_3-7d,lead_time_bucket_distance,days_since_last_fault_event,days_since_last_task_event,days_since_last_any_event,risk_base_score,risk_probability_component_score,leadtime_bucket_base_score,leadtime_confidence_multiplier,leadtime_component_score,anomaly_component_score,history_adjustment_score,history_adjustment_reason,priority_score,priority_level,priority_reason,engine_version,label,fault_label,fault_event_id,estimated_lead_time_hours,use_for_supervised_training,split_time_based,split_substation_based,split_regime_based,true_bucket,target_score,target_level,is_pre_fault,is_within_3d,rule_based_score,rule_based_level,lgbm_priority_only_score_raw,lgbm_priority_only_score,lgbm_priority_only_level,lgbm_prediction_bundle_score_raw,lgbm_prediction_bundle_score,lgbm_prediction_bundle_level
manufacturer 1,13,2016-07-20 00:00:00,2016-07-20 06:00:00,0.5561579459817504,0.9850890163229435,0.9850890163229435,critical,0-24h,0.94231913954241,0.94231913954241,0.0564039647389905,0.0012768957185994,0.0,9999.0,490.0,490.0,38.0,17.731602293812983,18.0,1.0,18.0,3.336947675890502,2.0,long_time_since_last_fault_and_high_risk,79.0685,urgent,risk=critical|leadtime=0-24h|history_adjusted,priority_engine_v2_threshold48,pre_fault,Failure of the heating circuit pump,24.0,9.283333333333331,True,train,train,train,0-24h,100.0,urgent,True,True,79.0685,urgent,98.59752852462061,98.59752852462061,urgent,98.59752852462061,98.59752852462061,urgent
manufacturer 2,10,2016-09-28 18:00:00,2016-09-29 00:00:00,0.5340220734965866,0.9891081623440436,0.9891081623440436,critical,0-24h,0.9371341148732212,0.9371341148732212,0.0578207573890902,0.0050451277376886,0.0,9999.0,9999.0,9999.0,38.0,17.803946922192786,18.0,1.0,18.0,3.2041324409795195,2.0,long_time_since_last_fault_and_high_risk,79.0081,urgent,risk=critical|leadtime=0-24h|history_adjusted,priority_engine_v2_threshold48,pre_fault,unknown,40.0,12.066666666666666,True,train,train,train,0-24h,100.0,urgent,True,True,79.0081,urgent,101.31931135968918,100.0,urgent,101.31931135968918,100.0,urgent
manufacturer 2,10,2016-09-28 12:00:00,2016-09-28 18:00:00,0.52387269171962,0.9918512941187052,0.9918512941187052,critical,0-24h,0.911672765984081,0.911672765984081,0.0846861287001633,0.0036411053157555,0.0,9999.0,9999.0,9999.0,38.0,17.853323294136693,18.0,1.0,18.0,3.14323615031772,2.0,long_time_since_last_fault_and_high_risk,78.9966,urgent,risk=critical|leadtime=0-24h|history_adjusted,priority_engine_v2_threshold48,pre_fault,unknown,40.0,18.066666666666663,True,train,train,train,0-24h,100.0,urgent,True,True,78.9966,urgent,98.86037614471006,98.86037614471006,urgent,98.86037614471006,98.86037614471006,urgent
manufacturer 2,10,2016-09-29 00:00:00,2016-09-29 06:00:00,0.5216372277047239,0.9923984392577418,0.9923984392577418,critical,0-24h,0.9197631340501788,0.9197631340501788,0.0760931137262811,0.0041437522235398,0.0,9999.0,9999.0,9999.0,38.0,17.86317190663935,18.0,1.0,18.0,3.1298233662283432,2.0,long_time_since_last_fault_and_high_risk,78.993,urgent,risk=critical|leadtime=0-24h|history_adjusted,priority_engine_v2_threshold48,pre_fault,unknown,40.0,6.066666666666666,True,train,train,train,0-24h,100.0,urgent,True,True,78.993,urgent,100.24549260940503,100.0,urgent,100.24549260940503,100.0,urgent
manufacturer 2,10,2019-10-13 18:00:00,2019-10-14 00:00:00,0.5103634538917444,0.99165518926078,0.99165518926078,critical,0-24h,0.9442292971403988,0.9442292971403988,0.0477154372929683,0.0080552655666326,0.0,663.9305555555555,1041.75,663.9305555555555,38.0,17.84979340669404,18.0,1.0,18.0,3.0621807233504663,2.0,long_time_since_last_fault_and_high_risk,78.912,urgent,risk=critical|leadtime=0-24h|history_adjusted,priority_engine_v2_threshold48,pre_fault,Failure of the heating circuit pump,25.0,11.533333333333331,True,train,train,train,0-24h,100.0,urgent,True,True,78.912,urgent,83.59637017500873,83.59637017500873,urgent,83.59637017500873,83.59637017500873,urgent
manufacturer 2,10,2019-10-13 12:00:00,2019-10-13 18:00:00,0.5129401589240546,0.9906130762724402,0.9906130762724402,critical,0-24h,0.9481712725091956,0.9481712725091956,0.0471611942476709,0.0046675332431334,0.0,663.6805555555555,1041.5,663.6805555555555,38.0,17.831035372903923,18.0,1.0,18.0,3.077640953544328,2.0,long_time_since_last_fault_and_high_risk,78.9087,urgent,risk=critical|leadtime=0-24h|history_adjusted,priority_engine_v2_threshold48,pre_fault,Failure of the heating circuit pump,25.0,17.533333333333335,True,train,train,train,0-24h,100.0,urgent,True,True,78.9087,urgent,94.67177981012753,94.67177981012753,urgent,94.67177981012753,94.67177981012753,urgent
manufacturer 2,10,2019-10-14 00:00:00,2019-10-14 06:00:00,0.5084710873971912,0.9919148662065048,0.9919148662065048,critical,0-24h,0.9456378240699224,0.9456378240699224,0.0436728232341733,0.0106893526959043,0.0,664.1805555555555,1042.0,664.1805555555555,38.0,17.854467591717086,18.0,1.0,18.0,3.050826524383147,2.0,long_time_since_last_fault_and_high_risk,78.9053,urgent,risk=critical|leadtime=0-24h|history_adjusted,priority_engine_v2_threshold48,pre_fault,Failure of the heating circuit pump,25.0,5.533333333333333,True,train,train,train,0-24h,100.0,urgent,True,True,78.9053,urgent,76.31269155043387,76.31269155043387,high,76.31269155043387,76.31269155043387,high
manufacturer 1,13,2016-07-19 18:00:00,2016-07-20 00:00:00,0.5186291863792667,0.984360927438276,0.984360927438276,critical,0-24h,0.9537938148650942,0.9537938148650942,0.0438906582730744,0.0023155268618315,0.0,9999.0,489.75,489.75,38.0,17.718496693888966,18.0,1.0,18.0,3.1117751182756,2.0,long_time_since_last_fault_and_high_risk,78.8303,urgent,risk=critical|leadtime=0-24h|history_adjusted,priority_engine_v2_threshold48,pre_fault,Failure of the heating circuit pump,24.0,15.283333333333331,True,train,train,train,0-24h,100.0,urgent,True,True,78.8303,urgent,96.427262582838,96.427262582838,urgent,96.427262582838,96.427262582838,urgent
manufacturer 2,10,2019-10-13 06:00:00,2019-10-13 12:00:00,0.5051323341588372,0.9875924378796362,0.9875924378796362,critical,0-24h,0.9380865703721376,0.9380865703721376,0.0587056014206986,0.0032078282071637,0.0,663.4305555555555,1041.25,663.4305555555555,38.0,17.776663881833453,18.0,1.0,18.0,3.030794004953023,2.0,long_time_since_last_fault_and_high_risk,78.8075,urgent,risk=critical|leadtime=0-24h|history_adjusted,priority_engine_v2_threshold48,pre_fault,Failure of the heating circuit pump,25.0,23.53333333333333,True,train,train,train,0-24h,100.0,urgent,True,True,78.8075,urgent,98.52165186556137,98.52165186556137,urgent,98.52165186556137,98.52165186556137,urgent
manufacturer 2,16,2018-05-18 06:00:00,2018-05-18 12:00:00,0.5286147536712174,0.9786332342293588,0.9786332342293588,critical,0-24h,0.950327682361742,0.950327682361742,0.0481164932004625,0.0015558244377953,0.0,725.2079166666666,396.25,396.25,38.0,17.615398216128458,18.0,1.0,18.0,3.171688522027304,2.0,long_time_since_last_fault_and_high_risk,78.7871,urgent,risk=critical|leadtime=0-24h|history_adjusted,priority_engine_v2_threshold48,pre_fault,Motorised control valve (primary side): Actuator defective,31.0,22.95,True,train,train,train,0-24h,100.0,urgent,True,True,78.7871,urgent,99.33466221329496,99.33466221329496,urgent,99.33466221329496,99.33466221329496,urgent
