manufacturer,substation_id,window_start,window_end,source_file,configuration_type,anomaly_score,risk_score,risk_probability,risk_level_calibrated,predicted_lead_time_bucket,predicted_lead_time_confidence,leadtime_prob_0-24h,leadtime_prob_1-3d,leadtime_prob_3-7d,priority_score,priority_level,team_lgbm_priority_score,team_lgbm_priority_level,label,estimated_lead_time_hours,split_time_based,true_bucket,target_score
manufacturer 1,1,2019-12-01 00:00:00,2019-12-01 06:00:00,substation_1.csv,SH + DHW,0.4264994243194799,0.1756664984266168,0.1756664984266168,low,0-24h,0.7334436564928724,0.7334436564928724,0.2583345068182748,0.0082218366888527,24.121,low,49.831909173755555,high,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-01 06:00:00,2019-12-01 12:00:00,substation_1.csv,SH + DHW,0.4380856831884861,0.1100276263257758,0.1100276263257758,low,0-24h,0.8969995335200005,0.8969995335200005,0.1002228071121113,0.0027776593678882,26.609,low,37.33365678200413,medium,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-01 18:00:00,2019-12-02 00:00:00,substation_1.csv,SH + DHW,0.4353209678147473,0.1203822309845339,0.1203822309845339,low,0-24h,0.8750136313728036,0.8750136313728036,0.1195822972608477,0.0054040713663487,26.7788,low,47.83112338567722,medium,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-02 12:00:00,2019-12-02 18:00:00,substation_1.csv,SH + DHW,0.450604310914674,0.4708078706811806,0.4708078706811806,high,0-24h,0.9154934071630348,0.9154934071630348,0.0822533543644757,0.0022532384724892,59.1782,high,72.00416316444237,high,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-02 18:00:00,2019-12-03 00:00:00,substation_1.csv,SH + DHW,0.4331669068800355,0.1279598172427293,0.1279598172427293,low,0-24h,0.922665302153332,0.922665302153332,0.0735971434260104,0.0037375544206573,26.9023,low,76.57025879003497,high,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-03 00:00:00,2019-12-03 06:00:00,substation_1.csv,SH + DHW,0.4157020677953639,0.0950059640607056,0.0950059640607056,low,0-24h,0.5973816001499548,0.5973816001499548,0.3838327051808216,0.0187856946692236,19.0043,low,15.728959433525763,low,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-03 06:00:00,2019-12-03 12:00:00,substation_1.csv,SH + DHW,0.4224753829812412,0.2871891388567925,0.2871891388567925,medium,0-24h,0.9378383504038116,0.9378383504038116,0.0595029985142606,0.0026586510819275,40.7043,medium,91.37520394691727,urgent,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-03 12:00:00,2019-12-03 18:00:00,substation_1.csv,SH + DHW,0.4148873280434748,0.2619856343544126,0.2619856343544126,medium,0-24h,0.7969393672674266,0.7969393672674266,0.1971767213321373,0.0058839114004361,36.6051,medium,53.03738771062788,high,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-04 00:00:00,2019-12-04 06:00:00,substation_1.csv,SH + DHW,0.4188781051692492,0.1361597723393357,0.1361597723393357,low,0-24h,0.915761969862132,0.915761969862132,0.0721035026682301,0.0121345274696378,26.9641,low,56.796516893678,high,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-04 06:00:00,2019-12-04 12:00:00,substation_1.csv,SH + DHW,0.4221256272221597,0.2473889890013433,0.2473889890013433,medium,0-24h,0.9484947456874342,0.9484947456874342,0.0500680343597045,0.0014372199528613,39.9858,medium,90.53648839531756,urgent,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-04 12:00:00,2019-12-04 18:00:00,substation_1.csv,SH + DHW,0.4200144933583087,0.1279346111674868,0.1279346111674868,low,0-24h,0.8615901986836032,0.8615901986836032,0.1309741116472662,0.0074356896691306,26.8229,low,49.75758338188647,high,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-04 18:00:00,2019-12-05 00:00:00,substation_1.csv,SH + DHW,0.4273288331280073,0.0499480631538741,0.0499480631538741,low,0-24h,0.9414018923002252,0.9414018923002252,0.0543914447431141,0.0042066629566605,25.463,low,47.23192584645293,medium,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-05 06:00:00,2019-12-05 12:00:00,substation_1.csv,SH + DHW,0.429155780767659,0.1056002939439726,0.1056002939439726,low,0-24h,0.8569793420052076,0.8569793420052076,0.1395729308119284,0.0034477271828639,26.4757,low,37.70823404070943,medium,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-05 12:00:00,2019-12-05 18:00:00,substation_1.csv,SH + DHW,0.4095369025737969,0.0916148846807689,0.0916148846807689,low,1-3d,0.5328056187150925,0.4558270672644092,0.5328056187150925,0.0113673140204982,14.1063,low,10.815412530631841,low,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-06 00:00:00,2019-12-06 06:00:00,substation_1.csv,SH + DHW,0.4270903612283895,0.0549846943954189,0.0549846943954189,low,0-24h,0.5650491711429757,0.5650491711429757,0.4156488058599779,0.0193020229970463,18.3523,low,21.207448647162682,medium,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-06 06:00:00,2019-12-06 12:00:00,substation_1.csv,SH + DHW,0.4167479676483204,0.0615263066504022,0.0615263066504022,low,0-24h,0.9535036848558528,0.9535036848558528,0.0445344041920743,0.0019619109520729,25.608,low,44.21095126584356,medium,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-06 12:00:00,2019-12-06 18:00:00,substation_1.csv,SH + DHW,0.4224914977659246,0.0967671123340761,0.0967671123340761,low,0-24h,0.8283194876263087,0.8283194876263087,0.169885322572552,0.0017951898011393,26.2768,low,26.500052693699732,medium,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-06 18:00:00,2019-12-07 00:00:00,substation_1.csv,SH + DHW,0.4152451086294217,0.1141653155997252,0.1141653155997252,low,0-24h,0.9514263809826564,0.9514263809826564,0.0469221582939594,0.001651460723384,26.5464,low,55.86373829553611,high,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-07 00:00:00,2019-12-07 06:00:00,substation_1.csv,SH + DHW,0.4286258081375293,0.1755565783839085,0.1755565783839085,low,1-3d,0.565664628660274,0.4323590763460359,0.565664628660274,0.0019762949936901,15.7318,low,27.926505004679548,medium,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-07 06:00:00,2019-12-07 12:00:00,substation_1.csv,SH + DHW,0.4269817748495799,0.0813820788185891,0.0813820788185891,low,1-3d,0.5622746402150747,0.4351949932433318,0.5622746402150747,0.0025303665415935,14.0268,low,8.826829839280597,low,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-07 12:00:00,2019-12-07 18:00:00,substation_1.csv,SH + DHW,0.4195184757208224,0.1227611986735839,0.1227611986735839,low,0-24h,0.6177007829015186,0.6177007829015186,0.3813224387395511,0.0009767783589303,23.1268,low,19.502375197925574,medium,normal,,validation,normal,0.0
manufacturer 1,1,2019-12-07 18:00:00,2019-12-08 00:00:00,substation_1.csv,SH + DHW,0.4306109569272739,0.1622698290527878,0.1622698290527878,low,1-3d,0.5096766606588233,0.4868813077486609,0.5096766606588233,0.0034420315925158,15.5045,low,31.570911586764662,medium,normal,,validation,normal,0.0
manufacturer 1,10,2014-05-03 18:00:00,2014-05-04 00:00:00,substation_10.csv,SH + DHW,0.48210939699263,0.9623236841383715,0.9623236841383715,critical,1-3d,0.6448693378209936,0.3466431684607791,0.6448693378209936,0.0084874937182272,68.2145,high,42.65928038060714,medium,pre_fault,14.733333333333333,train,0-24h,100.0
