split,model_key,n,mae,rmse,spearman,pre_fault_count,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20,precision@50,recall@50,ndcg@50,precision@100,recall@100,ndcg@100,precision@R,recall@R,ndcg@R,action_threshold,tp,fp,fn,tn,action_precision,action_recall,action_f1,action_specificity,action_rate
all_labeled,raw_rule,2526,22.221855186064925,26.606637840272054,0.6369768268306066,759,1.0,0.013175230566534914,1.0,1.0,0.026350461133069828,1.0,1.0,0.06587615283267458,0.9948606418681409,1.0,0.13175230566534915,0.962826932448023,0.8221343873517787,0.8221343873517787,0.8348830918500526,48.0,522,134,168,1702,0.7957317073170732,0.7565217391304347,0.7756315007429421,0.9270152505446623,0.2596991290577989
all_labeled,team_lgbm,2526,16.979722023681497,26.298546185853155,0.6382403311963213,759,1.0,0.013175230566534914,1.0,1.0,0.026350461133069828,1.0,1.0,0.06587615283267458,0.9850901629634454,0.94,0.12384716732542819,0.9283633273556995,0.7351778656126482,0.7351778656126482,0.7650461373982989,49.5,302,37,388,1799,0.8908554572271387,0.43768115942028984,0.586977648202138,0.9798474945533769,0.1342042755344418
split_time_train,raw_rule,1770,19.537418079096046,22.914103058106743,0.7137558422523426,507,1.0,0.01972386587771203,1.0,1.0,0.03944773175542406,1.0,1.0,0.09861932938856016,0.9715736825534064,1.0,0.19723865877712032,0.9653608571899752,0.9053254437869822,0.9053254437869822,0.9092956608773783,48.0,385,65,76,1244,0.8555555555555555,0.8351409978308026,0.845225027442371,0.9503437738731857,0.2542372881355932
split_time_train,team_lgbm,1770,12.865424852074533,21.626880248944417,0.7212952985650939,507,1.0,0.01972386587771203,0.9783689320123565,1.0,0.03944773175542406,0.9860400150084576,1.0,0.09861932938856016,0.9778354082361222,1.0,0.19723865877712032,0.9465771873472444,0.8205128205128205,0.8205128205128205,0.8427011360285875,49.5,246,10,215,1299,0.9609375,0.5336225596529284,0.6861924686192469,0.9923605805958747,0.14463276836158193
split_time_validation,raw_rule,362,26.73852541436464,31.76506594311496,0.3777273819432982,119,1.0,0.08403361344537816,0.9573740719067023,1.0,0.16806722689075632,0.9150837544717295,1.0,0.42016806722689076,0.8597901410241381,0.77,0.6470588235294118,0.7412983712282302,0.6638655462184874,0.6638655462184874,0.7072715678591716,48.0,59,24,45,234,0.7108433734939759,0.5673076923076923,0.6310160427807486,0.9069767441860465,0.2292817679558011
split_time_validation,team_lgbm,362,27.00217033469461,35.87978450966908,0.23863917921901703,119,0.8,0.06722689075630252,0.8643145546088339,0.7,0.11764705882352941,0.7210555051514144,0.62,0.2605042016806723,0.6068902156393613,0.51,0.42857142857142855,0.5669501006876236,0.5042016806722689,0.5042016806722689,0.580353030769488,49.5,29,16,75,242,0.6444444444444445,0.27884615384615385,0.389261744966443,0.937984496124031,0.12430939226519337
split_time_holdout,raw_rule,394,30.131548223350258,35.39387967102512,0.431654151019312,133,1.0,0.07518796992481203,1.0,1.0,0.15037593984962405,0.9011650729985895,1.0,0.37593984962406013,0.8079188489682749,0.71,0.5338345864661654,0.7053791049498019,0.6616541353383458,0.6616541353383458,0.7088979586238828,48.0,78,45,47,224,0.6341463414634146,0.624,0.6290322580645161,0.8327137546468402,0.31218274111675126
split_time_holdout,team_lgbm,394,26.254289803269273,33.912547850655734,0.47299501352080625,133,0.8,0.06015037593984962,0.7572104547985214,0.8,0.12030075187969924,0.7014756910054637,0.72,0.2706766917293233,0.6105268618782009,0.64,0.48120300751879697,0.624753643233922,0.6015037593984962,0.6015037593984962,0.6270263024884479,49.5,27,11,98,258,0.7105263157894737,0.216,0.33128834355828224,0.9591078066914498,0.09644670050761421
team_mod3_holdout,raw_rule,548,22.405175182481756,28.786781062122536,0.6636735259124021,243,1.0,0.0411522633744856,1.0,1.0,0.0823045267489712,1.0,1.0,0.205761316872428,0.9424793518889992,1.0,0.411522633744856,0.8763418769624473,0.8353909465020576,0.8353909465020576,0.8554534647434356,48.0,164,20,76,288,0.8913043478260869,0.6833333333333333,0.7735849056603774,0.935064935064935,0.3357664233576642
team_mod3_holdout,team_lgbm,548,19.36325418485689,30.148903755871387,0.7355705032526912,243,1.0,0.0411522633744856,1.0,1.0,0.0823045267489712,0.9769315776407104,0.98,0.20164609053497942,0.8917647338700586,0.99,0.4074074074074074,0.8408484424285,0.8518518518518519,0.8518518518518519,0.8612351380315141,49.5,100,5,140,303,0.9523809523809523,0.4166666666666667,0.5797101449275361,0.9837662337662337,0.19160583941605838
