safe_feature,original_feature,split_strategy,sampling_strategy,selected_model_key,importance
f_0000,dow_cos,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0001,dow_sin,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0002,doy_cos,split_time_based,baseline_no_weight,expanded_lgbm_01,29
f_0003,doy_sin,split_time_based,baseline_no_weight,expanded_lgbm_01,5
f_0004,hour_cos,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0005,hour_sin,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0006,configuration_type__is__missing,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0007,configuration_type__is__sh,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0008,configuration_type__is__sh_dhw,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0009,configuration_type__is__sh_dhw_with_sub_circuits,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0010,configuration_type__is__sh_with_buffer_tank,split_time_based,baseline_no_weight,expanded_lgbm_01,20
f_0011,configuration_type__is__sh_with_sub_circuits,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0012,manufacturer__is__manufacturer_1,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0013,manufacturer__is__manufacturer_2,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0014,s_dhw_3-way_valve_status__dominant__is__aus,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0015,s_dhw_3-way_valve_status__dominant__is__ein,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0016,s_dhw_3-way_valve_status__dominant__is__missing,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0017,s_dhw_control_unit_mode__dominant__is__missing,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0018,s_dhw_control_unit_mode__dominant__is__standby,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0019,s_dhw_control_unit_mode__dominant__is__tag,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0020,s_hc1.1_control_unit_mode__dominant__is__missing,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0021,s_hc1.1_control_unit_mode__dominant__is__nacht,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0022,s_hc1.1_control_unit_mode__dominant__is__tag,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0023,s_hc1.1_heating_pump_status__dominant__is__ein,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0024,s_hc1.1_heating_pump_status__dominant__is__missing,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0025,s_hc1.2_control_unit_mode__dominant__is__missing,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0026,s_hc1.2_control_unit_mode__dominant__is__nacht,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0027,s_hc1.2_control_unit_mode__dominant__is__standby,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0028,s_hc1.2_control_unit_mode__dominant__is__tag,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0029,s_hc1.2_dhw_control unit_mode__dominant__is__missing,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0030,s_hc1.2_dhw_control unit_mode__dominant__is__standby,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0031,s_hc1.2_heating_pump_status__dominant__is__aus,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0032,s_hc1.2_heating_pump_status__dominant__is__ein,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0033,s_hc1.2_heating_pump_status__dominant__is__missing,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0034,s_hc1.3_control_unit_mode__dominant__is__missing,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0035,s_hc1.3_control_unit_mode__dominant__is__tag,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0036,s_hc1.3_heating_pump_status__dominant__is__aus,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0037,s_hc1.3_heating_pump_status__dominant__is__ein,split_time_based,baseline_no_weight,expanded_lgbm_01,0
