split,model_key,n,mae,rmse,r2,spearman,pre_fault_count,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20,precision@50,recall@50,ndcg@50,precision@100,recall@100,ndcg@100,precision@R,recall@R,ndcg@R,action_threshold,tp,fp,fn,tn,action_precision,action_recall,action_f1,action_specificity,action_rate,split_strategy,sampling_strategy,selected_action_threshold,best_iteration,selection_score,train_rows_effective
validation,expanded_lgbm_01,362,20.018670603691483,26.9634745021177,0.45296057609561524,0.6051728513271576,119,1.0,0.08403361344537816,0.9474731597842877,1.0,0.16806722689075632,0.9217175960654985,0.98,0.4117647058823529,0.8355437877933763,0.81,0.680672268907563,0.7836886081940785,0.8067226890756303,0.8067226890756303,0.8255062343492843,27.75,86,38,18,220,0.6935483870967742,0.8269230769230769,0.7543859649122807,0.8527131782945736,0.3425414364640884,split_time_based,baseline_no_weight,27.75,56,2.231523231929719,1770
validation,expanded_lgbm_02,362,21.70891084746225,27.878905805622058,0.415185184733996,0.5947025122027573,119,1.0,0.08403361344537816,0.8985637814656733,1.0,0.16806722689075632,0.861240787133332,0.98,0.4117647058823529,0.8288866610136534,0.8,0.6722689075630253,0.7553121381607821,0.7983193277310925,0.7983193277310925,0.8041817646473134,29.25,86,41,18,217,0.6771653543307087,0.8269230769230769,0.7445887445887446,0.8410852713178295,0.35082872928176795,split_time_based,baseline_no_weight,29.25,31,2.1874263965597502,1770
validation,expanded_lgbm_03,362,21.987851602664055,28.167825680767955,0.40300105186736723,0.5954038657251941,119,1.0,0.08403361344537816,1.0,1.0,0.16806722689075632,0.9176312150314556,0.98,0.4117647058823529,0.809101163530431,0.83,0.6974789915966386,0.7847801525260562,0.7563025210084033,0.7563025210084033,0.7849688032197861,23.25,90,53,14,205,0.6293706293706294,0.8653846153846154,0.7287449392712552,0.7945736434108527,0.39502762430939226,split_time_based,baseline_no_weight,23.25,40,2.166028850068529,1770
validation,expanded_lgbm_04,362,20.107721594078622,28.119979279097677,0.40502747676104045,0.5867410890968389,119,1.0,0.08403361344537816,0.9534810813023592,1.0,0.16806722689075632,0.9020787803714271,0.98,0.4117647058823529,0.8469114761141149,0.79,0.6638655462184874,0.7598026037557479,0.7647058823529411,0.7647058823529411,0.784735260074324,28.25,79,45,25,213,0.6370967741935484,0.7596153846153846,0.6929824561403508,0.8255813953488372,0.3425414364640884,split_time_based,baseline_no_weight,28.25,67,2.1013579996295078,1770
validation,expanded_lgbm_06,362,21.359331116667338,28.452676990757784,0.39086551877513476,0.5645160760219224,119,1.0,0.08403361344537816,0.9774735640255078,1.0,0.16806722689075632,0.9264703695948868,0.98,0.4117647058823529,0.8284878477388226,0.78,0.6554621848739496,0.7497165165771615,0.7478991596638656,0.7478991596638656,0.7699234672374743,38.25,63,19,41,239,0.7682926829268293,0.6057692307692307,0.6774193548387097,0.9263565891472868,0.2265193370165746,split_time_based,baseline_no_weight,38.25,43,2.051589683063439,1770
validation,expanded_lgbm_05,362,22.663884762428765,29.311874807695872,0.35352146239965776,0.5254096088211387,119,1.0,0.08403361344537816,0.9213230431924705,1.0,0.16806722689075632,0.9129311067897413,0.98,0.4117647058823529,0.7942890232340218,0.75,0.6302521008403361,0.7255158934451442,0.7226890756302521,0.7226890756302521,0.7416791877797148,19.0,74,48,30,210,0.6065573770491803,0.7115384615384616,0.654867256637168,0.813953488372093,0.3370165745856354,split_time_based,baseline_no_weight,19.0,33,1.9649942335974613,1770
validation,expanded_lgbm_02,362,23.979759089333168,35.44376102306748,0.05475036892558949,0.5033068256401578,119,1.0,0.08403361344537816,0.9556096702855593,1.0,0.16806722689075632,0.9230577934866595,0.96,0.40336134453781514,0.8284505557268271,0.84,0.7058823529411765,0.7924266831772444,0.7142857142857143,0.7142857142857143,0.7526940567540102,58.25,69,29,35,229,0.7040816326530612,0.6634615384615384,0.6831683168316831,0.8875968992248062,0.27071823204419887,split_time_based,severity_weighted,58.25,607,2.0431869220371657,1770
validation,expanded_lgbm_06,362,26.03644514381804,36.94042981294306,-0.026764407818244074,0.4489611889589954,119,1.0,0.08403361344537816,1.0,1.0,0.16806722689075632,0.9204173906611753,0.9,0.37815126050420167,0.8299025621579487,0.8,0.6722689075630253,0.7777267542778169,0.7058823529411765,0.7058823529411765,0.746673829051128,62.75,66,27,38,231,0.7096774193548387,0.6346153846153846,0.6700507614213198,0.8953488372093024,0.2569060773480663,split_time_based,severity_weighted,62.75,224,1.973241537778577,1770
validation,expanded_lgbm_01,362,24.151990383221204,33.12802797942302,0.17423193049423003,0.49797021909969424,119,1.0,0.08403361344537816,1.0,1.0,0.16806722689075632,0.929860136799809,0.94,0.3949579831932773,0.8274122935773924,0.76,0.6386554621848739,0.7380184732285873,0.680672268907563,0.680672268907563,0.7278801369619331,59.25,59,21,45,237,0.7375,0.5673076923076923,0.641304347826087,0.9186046511627907,0.22099447513812154,split_time_based,severity_weighted,59.25,212,1.9259251555445982,1770
validation,expanded_lgbm_03,362,23.78878660201045,35.84172971795274,0.03340434599236186,0.46578694680822913,119,1.0,0.08403361344537816,1.0,1.0,0.16806722689075632,0.9423910829594253,0.86,0.36134453781512604,0.8043928094813577,0.77,0.6470588235294118,0.7578243619880313,0.6974789915966386,0.6974789915966386,0.7358780102454633,61.0,66,38,38,220,0.6346153846153846,0.6346153846153846,0.6346153846153846,0.8527131782945736,0.287292817679558,split_time_based,severity_weighted,61.0,706,1.916886121231278,1770
