split_strategy,sampling_strategy,component,affected_train_rows,min,mean,max
split_time_based,baseline_no_weight,final_weight,1770,1.0,1.0,1.0
split_time_based,severity_weighted,severity,1770,,,
split_time_based,severity_weighted,final_weight,1770,0.5113143957631199,1.0,2.7270101107366393
split_time_based,hard_case_weighted,hard_negative,377,,,
split_time_based,hard_case_weighted,low_signal_positive,101,,,
split_time_based,hard_case_weighted,final_weight,1770,0.6887695540508989,0.9999999999999999,1.9285547513425167
split_time_based,event_balanced,event_balance,507,,,
split_time_based,event_balanced,final_weight,1770,0.7620167223377682,0.9999999999999998,4.032213484356585
split_time_based,substation_balanced,substation_balance,1770,,,
split_time_based,substation_balanced,final_weight,1770,0.5935393828699098,1.0,3.9519799623876266
split_time_based,combined_context_weighted,severity,1770,,,
split_time_based,combined_context_weighted,hard_negative,377,,,
split_time_based,combined_context_weighted,low_signal_positive,101,,,
split_time_based,combined_context_weighted,event_balance,507,,,
split_time_based,combined_context_weighted,substation_balance,1770,,,
split_time_based,combined_context_weighted,final_weight,1770,0.2,0.9674396141862606,10.0
split_time_based,combined_context_resampled,severity,1770,,,
split_time_based,combined_context_resampled,hard_negative,377,,,
split_time_based,combined_context_resampled,low_signal_positive,101,,,
split_time_based,combined_context_resampled,event_balance,507,,,
split_time_based,combined_context_resampled,substation_balance,1770,,,
split_time_based,combined_context_resampled,final_weight,1770,0.2,0.9718340016304202,12.0
split_substation_based,baseline_no_weight,final_weight,2021,1.0,1.0,1.0
split_substation_based,severity_weighted,severity,2021,,,
split_substation_based,severity_weighted,final_weight,2021,0.4883215206185567,1.0000000000000002,2.604381443298969
split_substation_based,hard_case_weighted,hard_negative,396,,,
split_substation_based,hard_case_weighted,low_signal_positive,158,,,
split_substation_based,hard_case_weighted,final_weight,2021,0.6913183279742765,0.9999999999999998,1.9356913183279743
split_substation_based,event_balanced,event_balance,641,,,
split_substation_based,event_balanced,final_weight,2021,0.5781409790840074,1.0000000000000002,4.2484511944467
split_substation_based,substation_balanced,substation_balance,2021,,,
split_substation_based,substation_balanced,final_weight,2021,0.5982076573933396,1.0,3.98306286591176
split_substation_based,combined_context_weighted,severity,2021,,,
split_substation_based,combined_context_weighted,hard_negative,396,,,
split_substation_based,combined_context_weighted,low_signal_positive,158,,,
split_substation_based,combined_context_weighted,event_balance,641,,,
split_substation_based,combined_context_weighted,substation_balance,2021,,,
split_substation_based,combined_context_weighted,final_weight,2021,0.2,0.9678441694816279,10.0
split_substation_based,combined_context_resampled,severity,2021,,,
split_substation_based,combined_context_resampled,hard_negative,396,,,
split_substation_based,combined_context_resampled,low_signal_positive,158,,,
split_substation_based,combined_context_resampled,event_balance,641,,,
split_substation_based,combined_context_resampled,substation_balance,2021,,,
split_substation_based,combined_context_resampled,final_weight,2021,0.2,0.9727922150036467,12.0
split_regime_based,baseline_no_weight,final_weight,1784,1.0,1.0,1.0
split_regime_based,severity_weighted,severity,1784,,,
split_regime_based,severity_weighted,final_weight,1784,0.5033860045146727,1.0000000000000002,2.6847253574115877
split_regime_based,hard_case_weighted,hard_negative,371,,,
split_regime_based,hard_case_weighted,low_signal_positive,115,,,
split_regime_based,hard_case_weighted,final_weight,1784,0.6888562823384045,0.9999999999999999,1.9287975905475323
split_regime_based,event_balanced,event_balance,532,,,
split_regime_based,event_balanced,final_weight,1784,0.7259286791986534,1.0000000000000002,4.04179982999853
split_regime_based,substation_balanced,substation_balance,1784,,,
split_regime_based,substation_balanced,final_weight,1784,0.5450745512539066,1.0,4.444948449334263
split_regime_based,combined_context_weighted,severity,1784,,,
split_regime_based,combined_context_weighted,hard_negative,371,,,
split_regime_based,combined_context_weighted,low_signal_positive,115,,,
split_regime_based,combined_context_weighted,event_balance,532,,,
split_regime_based,combined_context_weighted,substation_balance,1784,,,
split_regime_based,combined_context_weighted,final_weight,1784,0.2,0.9320737434121058,10.0
split_regime_based,combined_context_resampled,severity,1784,,,
split_regime_based,combined_context_resampled,hard_negative,371,,,
split_regime_based,combined_context_resampled,low_signal_positive,115,,,
split_regime_based,combined_context_resampled,event_balance,532,,,
split_regime_based,combined_context_resampled,substation_balance,1784,,,
split_regime_based,combined_context_resampled,final_weight,1784,0.2,0.9455773825400203,12.0
